"Localidades";"Períodos";"Renda per Capita - Censo Demográfico (Em reais correntes)";"Domicílios Particulares com Renda per Capita até 1/2 Salário Mínimo - Censo Demográfico (Em %)";"Domicílios Particulares com Renda per Capita até 1/4 do Salário Mínimo - Censo Demográfico (Em %)";"Cód. IBGE"
"Iperó";"2010";"440,8";"27,92";"11,21";3521002
"Ipeúna";"2000";"333,71";"";"";3521101
"Ipeúna";"2010";"694,92";"15,34";"5,11";3521101
"Ipiguá";"2000";"249,15";"";"";3521150
"Ipiguá";"2010";"599,58";"17,74";"5,47";3521150
"Iporanga";"2000";"135,9";"";"";3521200
"Iporanga";"2010";"333";"49,27";"24,72";3521200
"Ipuã";"2000";"285,39";"";"";3521309
"Ipuã";"2010";"630,03";"24,07";"8,97";3521309
"Iracemápolis";"2000";"389,58";"";"";3521408
"Iracemápolis";"2010";"703,22";"13,55";"5,64";3521408
"Irapuã";"2000";"209,89";"";"";3521507
"Irapuã";"2010";"544,99";"17,16";"4,43";3521507
"Irapuru";"2000";"206,87";"";"";3521606
"Irapuru";"2010";"430,41";"25,28";"8,16";3521606
"Itaberá";"2000";"169,12";"";"";3521705
"Itaberá";"2010";"406,1";"41,24";"18,57";3521705
"Itaí";"2000";"196,3";"";"";3521804
"Itaí";"2010";"471,65";"28,95";"9,61";3521804
"Itajobi";"2000";"249,15";"";"";3521903
"Itajobi";"2010";"686,66";"12,57";"3,56";3521903
"Itaju";"2000";"228,01";"";"";3522000
"Itaju";"2010";"518,07";"18,7";"4,03";3522000
"Itanhaém";"2000";"283,88";"";"";3522109
"Itanhaém";"2010";"557,63";"28,23";"12,01";3522109
"Itaóca";"2000";"102,68";"";"";3522158
"Itaóca";"2010";"328,46";"48,44";"23,81";3522158
"Itapecerica da Serra";"2000";"276,33";"";"";3522208
"Itapecerica da Serra";"2010";"487,17";"29,98";"12,22";3522208
"Itapetininga";"2000";"324,65";"";"";3522307
"Itapetininga";"2010";"629,4";"21,92";"6,61";3522307
"Itapeva";"2000";"246,13";"";"";3522406
"Itapeva";"2010";"516,86";"33,61";"12,5";3522406
"Itapevi";"2000";"206,87";"";"";3522505
"Itapevi";"2010";"474,89";"31,11";"12,95";3522505
"Itapira";"2000";"356,36";"";"";3522604
"Itapira";"2010";"703,22";"14";"4,61";3522604
"Itapirapuã Paulista";"2000";"126,84";"";"";3522653
"Itapirapuã Paulista";"2010";"284,36";"56,33";"29,29";3522653
"Itápolis";"2000";"303,51";"";"";3522703
"Itápolis";"2010";"662,35";"15,23";"4,2";3522703
"Itaporanga";"2000";"176,67";"";"";3522802
"Itaporanga";"2010";"448,71";"38,62";"15,91";3522802
"Itapuí";"2000";"258,21";"";"";3522901
"Itapuí";"2010";"599,5";"15,97";"4,96";3522901
"Itapura";"2000";"132,88";"";"";3523008
"Itapura";"2010";"437,49";"31,53";"11,09";3523008
"Itaquaquecetuba";"2000";"193,28";"";"";3523107
"Itaquaquecetuba";"2010";"413,35";"36,12";"14,98";3523107
"Itararé";"2000";"224,99";"";"";3523206
"Itararé";"2010";"472,39";"35,29";"14,47";3523206
"Itariri";"2000";"244,62";"";"";3523305
"Itariri";"2010";"369,61";"44,69";"20,17";3523305
"Itatiba";"2000";"428,84";"";"";3523404
"Itatiba";"2010";"884";"11,72";"4,54";3523404
"Itatinga";"2000";"218,95";"";"";3523503
"Itatinga";"2010";"520,74";"23,56";"6,59";3523503
"Itirapina";"2000";"291,43";"";"";3523602
"Itirapina";"2010";"527,51";"17,15";"4,68";3523602
"Itirapuã";"2000";"232,54";"";"";3523701
"Itirapuã";"2010";"433,65";"35,03";"14,59";3523701
"Itobi";"2000";"226,5";"";"";3523800
"Itobi";"2010";"552,43";"19,95";"4,58";3523800
"Itu";"2000";"419,78";"";"";3523909
"Itu";"2010";"845,24";"14,25";"4,99";3523909
"Itupeva";"2000";"392,6";"";"";3524006
"Itupeva";"2010";"738,7";"15,29";"5,53";3524006
"Ituverava";"2000";"366,93";"";"";3524105
"Ituverava";"2010";"743,57";"17,07";"4,37";3524105
"Jaborandi";"2000";"193,28";"";"";3524204
"Jaborandi";"2010";"497,96";"23,67";"4,63";3524204
"Jaboticabal";"2000";"389,58";"";"";3524303
"Jaboticabal";"2010";"851,98";"14,01";"4,38";3524303
"Jacareí";"2000";"353,34";"";"";3524402
"Jacareí";"2010";"712,14";"19,25";"6,99";3524402
"Jaci";"2000";"259,72";"";"";3524501
"Jaci";"2010";"596,8";"14";"2,56";3524501
"Jacupiranga";"2000";"270,29";"";"";3524600
"Jacupiranga";"2010";"477,57";"33,6";"12,34";3524600
"Jaguariúna";"2000";"398,64";"";"";3524709
"Jaguariúna";"2010";"854,67";"12,56";"4,53";3524709
"Jales";"2000";"332,2";"";"";3524808
"Jales";"2010";"735,86";"14,84";"4,36";3524808
"Jambeiro";"2000";"265,76";"";"";3524907
"Jambeiro";"2010";"675,02";"19,11";"4,73";3524907
"Jandira";"2000";"291,43";"";"";3525003
"Jandira";"2010";"683,76";"20,41";"7,03";3525003
"Jardinópolis";"2000";"323,14";"";"";3525102
"Jardinópolis";"2010";"600,65";"21,11";"7,55";3525102
"Jarinu";"2000";"315,59";"";"";3525201
"Jarinu";"2010";"610,76";"21,35";"6,87";3525201
"Jaú";"2000";"400,15";"";"";3525300
"Jaú";"2010";"786,46";"11,41";"3,99";3525300
"Jeriquara";"2000";"218,95";"";"";3525409
"Jeriquara";"2010";"494,11";"26,7";"8,56";3525409
"Joanópolis";"2000";"282,37";"";"";3525508
"Joanópolis";"2010";"597,03";"20,32";"5,75";3525508
"João Ramalho";"2000";"206,87";"";"";3525607
"João Ramalho";"2010";"530,77";"21,15";"5,58";3525607
"José Bonifácio";"2000";"341,26";"";"";3525706
"José Bonifácio";"2010";"709,45";"12,19";"2,87";3525706
"Júlio Mesquita";"2000";"212,91";"";"";3525805
"Júlio Mesquita";"2010";"439,73";"30,59";"9,1";3525805
"Jumirim";"2000";"253,68";"";"";3525854
"Jumirim";"2010";"645,57";"13,22";"2,69";3525854
"Jundiaí";"2000";"548,13";"";"";3525904
"Jundiaí";"2010";"1121,82";"10,4";"4,12";3525904
"Junqueirópolis";"2000";"231,03";"";"";3526001
"Junqueirópolis";"2010";"605,36";"18,49";"5,81";3526001
"Juquiá";"2000";"229,52";"";"";3526100
"Juquiá";"2010";"408,12";"40,86";"17,09";3526100
"Juquitiba";"2000";"209,89";"";"";3526209
"Juquitiba";"2010";"404,53";"41,78";"19,54";3526209
"Lagoinha";"2000";"182,71";"";"";3526308
"Lagoinha";"2010";"469,11";"31,96";"8,6";3526308
"Laranjal Paulista";"2000";"354,85";"";"";3526407
"Laranjal Paulista";"2010";"665,4";"14,15";"4,82";3526407
"Lavínia";"2000";"228,01";"";"";3526506
"Lavínia";"2010";"321,08";"21,56";"6,31";3526506
"Lavrinhas";"2000";"188,75";"";"";3526605
"Lavrinhas";"2010";"430,21";"40,14";"16,39";3526605
"Leme";"2000";"317,1";"";"";3526704
"Leme";"2010";"616,2";"19,49";"5,64";3526704
"Lençóis Paulista";"2000";"348,81";"";"";3526803
"Lençóis Paulista";"2010";"708,66";"16,02";"5,26";3526803
"Limeira";"2000";"368,44";"";"";3526902
"Limeira";"2010";"767,62";"15,08";"5,15";3526902
"Lindóia";"2000";"353,34";"";"";3527009
"Lindóia";"2010";"660,23";"14,32";"2,88";3527009
"Lins";"2000";"419,78";"";"";3527108
"Lins";"2010";"796,51";"14,78";"5,26";3527108
"Lorena";"2000";"329,18";"";"";3527207
"Lorena";"2010";"680,6";"23,78";"8,86";3527207
"Lourdes";"2000";"178,18";"";"";3527256
"Lourdes";"2010";"524,86";"16,99";"5,37";3527256
"Louveira";"2000";"341,26";"";"";3527306
"Louveira";"2010";"803";"11,66";"4,02";3527306
"Lucélia";"2000";"247,64";"";"";3527405
"Lucélia";"2010";"570,48";"19,44";"5,73";3527405
"Lucianópolis";"2000";"164,59";"";"";3527504
"Lucianópolis";"2010";"631,62";"15,91";"2,92";3527504
"Luís Antônio";"2000";"294,45";"";"";3527603
"Luís Antônio";"2010";"555,94";"21,84";"6,49";3527603
"Luiziânia";"2000";"194,79";"";"";3527702
"Luiziânia";"2010";"501,57";"19,4";"4,38";3527702
"Lupércio";"2000";"178,18";"";"";3527801
"Lupércio";"2010";"480,87";"26,58";"7,53";3527801
"Lutécia";"2000";"212,91";"";"";3527900
"Lutécia";"2010";"500,95";"32,49";"12,04";3527900
"Macatuba";"2000";"240,09";"";"";3528007
"Macatuba";"2010";"651,73";"15,07";"3,53";3528007
"Macaubal";"2000";"271,8";"";"";3528106
"Macaubal";"2010";"626,9";"16,41";"3,68";3528106
"Macedônia";"2000";"184,22";"";"";3528205
"Macedônia";"2010";"564,31";"17,95";"3,31";3528205
"Magda";"2000";"258,21";"";"";3528304
"Magda";"2010";"663,76";"16,42";"4,21";3528304
"Mairinque";"2000";"289,92";"";"";3528403
"Mairinque";"2010";"594,45";"21,24";"7,84";3528403
"Mairiporã";"2000";"425,82";"";"";3528502
"Mairiporã";"2010";"738,89";"24,89";"8,62";3528502
"Manduri";"2000";"246,13";"";"";3528601
"Manduri";"2010";"576,61";"20,41";"5,71";3528601
"Marabá Paulista";"2000";"135,9";"";"";3528700
"Marabá Paulista";"2010";"322,39";"32,99";"10,05";3528700
"Maracaí";"2000";"231,03";"";"";3528809
"Maracaí";"2010";"595,29";"18,34";"5,33";3528809
"Marapoama";"2000";"196,3";"";"";3528858
"Marapoama";"2010";"691,07";"9,97";"3,58";3528858
"Mariápolis";"2000";"172,14";"";"";3528908
"Mariápolis";"2010";"494,23";"22,86";"8,85";3528908
"Marília";"2000";"418,27";"";"";3529005
"Marília";"2010";"794,23";"16,23";"5,33";3529005
"Marinópolis";"2000";"178,18";"";"";3529104
"Marinópolis";"2010";"498,79";"24,56";"4,97";3529104
"Martinópolis";"2000";"224,99";"";"";3529203
"Martinópolis";"2010";"513";"25,48";"8,65";3529203
"Matão";"2000";"315,59";"";"";3529302
"Matão";"2010";"679,92";"17,5";"6,82";3529302
"Mauá";"2000";"274,82";"";"";3529401
"Mauá";"2010";"583,61";"21,92";"8,17";3529401
"Mendonça";"2000";"292,94";"";"";3529500
"Mendonça";"2010";"639,82";"13,18";"4,05";3529500
"Meridiano";"2000";"185,73";"";"";3529609
"Meridiano";"2010";"588,98";"15,44";"4,69";3529609
"Mesópolis";"2000";"164,59";"";"";3529658
"Mesópolis";"2010";"497,85";"20,68";"5,4";3529658
"Miguelópolis";"2000";"274,82";"";"";3529708
"Miguelópolis";"2010";"559,99";"24,12";"7,42";3529708
"Mineiros do Tietê";"2000";"292,94";"";"";3529807
"Mineiros do Tietê";"2010";"585,77";"17,27";"5,74";3529807
"Mira Estrela";"2000";"182,71";"";"";3530003
"Mira Estrela";"2010";"549,29";"20,6";"6,03";3530003
"Miracatu";"2000";"208,38";"";"";3529906
"Miracatu";"2010";"376,89";"45,06";"19,44";3529906
"Mirandópolis";"2000";"255,19";"";"";3530102
"Mirandópolis";"2010";"578,83";"18,8";"6,76";3530102
"Mirante do Paranapanema";"2000";"194,79";"";"";3530201
"Mirante do Paranapanema";"2010";"456,44";"34,93";"14,1";3530201
"Mirassol";"2000";"333,71";"";"";3530300
"Mirassol";"2010";"752,16";"13,95";"4,76";3530300
"Mirassolândia";"2000";"163,08";"";"";3530409
"Mirassolândia";"2010";"525,22";"22,68";"8,47";3530409
"Mococa";"2000";"303,51";"";"";3530508
"Mococa";"2010";"630,79";"20,06";"6,34";3530508
"Mogi das Cruzes";"2000";"385,05";"";"";3530607
"Mogi das Cruzes";"2010";"757,93";"22,07";"8,9";3530607
"Mogi Guaçu";"2000";"353,34";"";"";3530706
"Mogi Guaçu";"2010";"677,48";"15,35";"4,95";3530706
"Mogi Mirim";"2000";"418,27";"";"";3530805
"Mogi Mirim";"2010";"827,06";"14,39";"5,1";3530805
"Mombuca";"2000";"280,86";"";"";3530904
"Mombuca";"2010";"576,39";"28,37";"12,22";3530904
"Mongaguá";"2000";"302";"";"";3531100
"Mongaguá";"2010";"542,11";"28";"12,25";3531100
"Monte Alegre do Sul";"2000";"341,26";"";"";3531209
"Monte Alegre do Sul";"2010";"792,58";"12,65";"3,32";3531209
"Monte Alto";"2000";"353,34";"";"";3531308
"Monte Alto";"2010";"724,58";"11,75";"3,1";3531308
"Monte Aprazível";"2000";"327,67";"";"";3531407
"Monte Aprazível";"2010";"784,97";"11,59";"3,07";3531407
"Monte Azul Paulista";"2000";"330,69";"";"";3531506
"Monte Azul Paulista";"2010";"706,89";"15,68";"3,64";3531506
"Monte Castelo";"2000";"217,44";"";"";3531605
"Monte Castelo";"2010";"560,39";"19,74";"5,96";3531605
"Monte Mor";"2000";"259,72";"";"";3531803
"Monte Mor";"2010";"548,32";"24,52";"8,83";3531803
"Monteiro Lobato";"2000";"265,76";"";"";3531704
"Monteiro Lobato";"2010";"547,76";"28,61";"9,29";3531704
"Monções";"2000";"208,38";"";"";3531001
"Monções";"2010";"622,13";"12,87";"3,64";3531001
"Morro Agudo";"2000";"288,41";"";"";3531902
"Morro Agudo";"2010";"567,18";"23,87";"8,48";3531902
"Morungaba";"2000";"347,3";"";"";3532009
"Morungaba";"2010";"667,29";"13,21";"4,38";3532009
"Motuca";"2000";"217,44";"";"";3532058
"Motuca";"2010";"485,74";"28,78";"15,42";3532058
"Murutinga do Sul";"2000";"232,54";"";"";3532108
"Murutinga do Sul";"2010";"564,99";"21,18";"5,64";3532108
"Nantes";"2000";"181,2";"";"";3532157
"Nantes";"2010";"459,69";"24,59";"4,96";3532157
"Narandiba";"2000";"169,12";"";"";3532207
"Narandiba";"2010";"446,21";"28,96";"8";3532207
"Natividade da Serra";"2000";"172,14";"";"";3532306
"Natividade da Serra";"2010";"415,31";"39,28";"16,54";3532306
"Nazaré Paulista";"2000";"212,91";"";"";3532405
"Nazaré Paulista";"2010";"489,58";"28,88";"10";3532405
"Neves Paulista";"2000";"318,61";"";"";3532504
"Neves Paulista";"2010";"711,76";"10,97";"2,22";3532504
"Nhandeara";"2000";"312,57";"";"";3532603
"Nhandeara";"2010";"738,49";"14,99";"4,74";3532603
"Nipoã";"2000";"215,93";"";"";3532702
"Nipoã";"2010";"579,12";"14,32";"2,94";3532702
"Nova Aliança";"2000";"267,27";"";"";3532801
"Nova Aliança";"2010";"621,14";"13,95";"3,48";3532801
"Nova Campina";"2000";"161,57";"";"";3532827
"Nova Campina";"2010";"280,5";"53,81";"21,67";3532827
"Nova Canaã Paulista";"2000";"158,55";"";"";3532843
"Nova Canaã Paulista";"2010";"504,56";"24,67";"8";3532843
"Nova Castilho";"2000";"131,37";"";"";3532868
"Nova Castilho";"2010";"595,52";"18,95";"4,21";3532868
"Nova Europa";"2000";"280,86";"";"";3532900
"Nova Europa";"2010";"602,91";"16,74";"4,81";3532900
"Nova Granada";"2000";"250,66";"";"";3533007
"Nova Granada";"2010";"630,89";"17,64";"4,96";3533007
"Nova Guataporanga";"2000";"160,06";"";"";3533106
"Nova Guataporanga";"2010";"545,99";"20,47";"6,69";3533106
"Nova Independência";"2000";"144,96";"";"";3533205
"Nova Independência";"2010";"547,25";"22,78";"6,91";3533205
"Nova Luzitânia";"2000";"224,99";"";"";3533304
"Nova Luzitânia";"2010";"600,79";"15,19";"3,66";3533304
"Nova Odessa";"2000";"341,26";"";"";3533403
"Nova Odessa";"2010";"733,41";"10,48";"3,67";3533403
"Novais";"2000";"152,51";"";"";3533254
"Novais";"2010";"568,17";"19,17";"3,92";3533254
"Novo Horizonte";"2000";"298,98";"";"";3533502
"Novo Horizonte";"2010";"705,62";"14,44";"4,31";3533502
"Nuporanga";"2000";"306,53";"";"";3533601
"Nuporanga";"2010";"665,49";"14,21";"4,53";3533601
"Ocauçu";"2000";"253,68";"";"";3533700
"Ocauçu";"2010";"497,26";"24,96";"5,91";3533700
"Óleo";"2000";"178,18";"";"";3533809
"Óleo";"2010";"538,23";"21,73";"6,26";3533809
"Olímpia";"2000";"351,83";"";"";3533908
"Olímpia";"2010";"708,25";"14,52";"4,17";3533908
"Onda Verde";"2000";"202,34";"";"";3534005
"Onda Verde";"2010";"542,38";"17,31";"4,1";3534005
"Oriente";"2000";"253,68";"";"";3534104
"Oriente";"2010";"618,32";"21,01";"6,55";3534104
"Orindiúva";"2000";"297,47";"";"";3534203
"Orindiúva";"2010";"642,18";"13,14";"3,41";3534203
"Orlândia";"2000";"342,77";"";"";3534302
"Orlândia";"2010";"758,9";"13,68";"3,39";3534302
"Osasco";"2000";"391,09";"";"";3534401
"Osasco";"2010";"757,55";"20,47";"8,54";3534401
"Oscar Bressane";"2000";"273,31";"";"";3534500
"Oscar Bressane";"2010";"569,22";"22,11";"5,84";3534500
"Osvaldo Cruz";"2000";"320,12";"";"";3534609
"Osvaldo Cruz";"2010";"651,44";"16,67";"4,57";3534609
"Ourinhos";"2000";"338,24";"";"";3534708
"Ourinhos";"2010";"724,4";"17,61";"5,34";3534708
"Ouro Verde";"2000";"135,9";"";"";3534807
"Ouro Verde";"2010";"441,08";"29,45";"10,05";3534807
"Ouroeste";"2000";"250,66";"";"";3534757
"Ouroeste";"2010";"640,64";"17,58";"5,63";3534757
"Pacaembu";"2000";"226,5";"";"";3534906
"Pacaembu";"2010";"490,16";"21,72";"6,54";3534906
"Palestina";"2000";"237,07";"";"";3535002
"Palestina";"2010";"619,45";"16,21";"4,56";3535002
"Palmares Paulista";"2000";"212,91";"";"";3535101
"Palmares Paulista";"2010";"552,22";"15,46";"3,14";3535101
"Palmeira d'Oeste";"2000";"237,07";"";"";3535200
"Palmeira d'Oeste";"2010";"601,55";"17,51";"4,42";3535200
"Palmital";"2000";"398,64";"";"";3535309
"Palmital";"2010";"608,27";"21,51";"7,19";3535309
"Panorama";"2000";"291,43";"";"";3535408
"Panorama";"2010";"558,08";"21,75";"5,33";3535408
"Paraguaçu Paulista";"2000";"270,29";"";"";3535507
"Paraguaçu Paulista";"2010";"577,9";"22,1";"6,67";3535507
"Paraibuna";"2000";"246,13";"";"";3535606
"Paraibuna";"2010";"558,87";"28,07";"9,58";3535606
"Paraíso";"2000";"234,05";"";"";3535705
"Paraíso";"2010";"743,63";"11,63";"2,47";3535705
"Paranapanema";"2000";"258,21";"";"";3535804
"Paranapanema";"2010";"524,96";"26,47";"7,94";3535804
"Paranapuã";"2000";"237,07";"";"";3535903
"Paranapuã";"2010";"554,43";"19,43";"4,55";3535903
"Parapuã";"2000";"368,44";"";"";3536000
"Parapuã";"2010";"535,59";"23,65";"7,59";3536000
"Pardinho";"2000";"250,66";"";"";3536109
"Pardinho";"2010";"585,38";"17,97";"5,33";3536109
"Pariquera-Açu";"2000";"237,07";"";"";3536208
"Pariquera-Açu";"2010";"501,4";"31,81";"11,61";3536208
"Parisi";"2000";"190,26";"";"";3536257
"Parisi";"2010";"460,04";"11,6";"2,56";3536257
"Patrocínio Paulista";"2000";"268,78";"";"";3536307
"Patrocínio Paulista";"2010";"548,69";"21,84";"6,49";3536307
"Paulicéia";"2000";"223,48";"";"";3536406
"Paulicéia";"2010";"521,81";"22,93";"6,11";3536406
"Paulínia";"2000";"502,83";"";"";3536505
"Paulínia";"2010";"974,57";"12,78";"4,97";3536505
"Paulistânia";"2000";"246,13";"";"";3536570
"Paulistânia";"2010";"489,85";"27,04";"6,72";3536570
"Paulo de Faria";"2000";"264,25";"";"";3536604
"Paulo de Faria";"2010";"565,41";"23,68";"8,18";3536604
"Pederneiras";"2000";"262,74";"";"";3536703
"Pederneiras";"2010";"629,78";"19,68";"6,35";3536703
"Pedra Bela";"2000";"190,26";"";"";3536802
"Pedra Bela";"2010";"470,7";"25,92";"7,29";3536802
"Pedranópolis";"2000";"173,65";"";"";3536901
"Pedranópolis";"2010";"554,39";"17,05";"4,2";3536901
"Pedregulho";"2000";"234,05";"";"";3537008
"Pedregulho";"2010";"570,27";"21,25";"5,12";3537008
"Pedreira";"2000";"363,91";"";"";3537107
"Pedreira";"2010";"687,97";"10,61";"3,01";3537107
"Pedrinhas Paulista";"2000";"345,79";"";"";3537156
"Pedrinhas Paulista";"2010";"660,93";"20,98";"4,33";3537156
"Pedro de Toledo";"2000";"223,48";"";"";3537206
"Pedro de Toledo";"2010";"420,4";"37,21";"14,06";3537206
"Penápolis";"2000";"360,89";"";"";3537305
"Penápolis";"2010";"705,28";"16,51";"5,38";3537305
"Pereira Barreto";"2000";"256,7";"";"";3537404
"Pereira Barreto";"2010";"603,58";"22,22";"7,75";3537404
"Pereiras";"2000";"288,41";"";"";3537503
"Pereiras";"2010";"600,17";"19,66";"5,41";3537503
"Peruíbe";"2000";"312,57";"";"";3537602
"Peruíbe";"2010";"589,26";"29,37";"12,54";3537602
"Piacatu";"2000";"220,46";"";"";3537701
"Piacatu";"2010";"508,37";"20,58";"6,42";3537701
"Piedade";"2000";"282,37";"";"";3537800
"Piedade";"2010";"488,26";"28,79";"9,78";3537800
"Pilar do Sul";"2000";"317,1";"";"";3537909
"Pilar do Sul";"2010";"465,21";"32,14";"10,62";3537909
"Pindamonhangaba";"2000";"330,69";"";"";3538006
"Pindamonhangaba";"2010";"683,99";"21,78";"7,28";3538006
"Pindorama";"2000";"261,23";"";"";3538105
"Pindorama";"2010";"672,47";"12,6";"3,28";3538105
"Pinhalzinho";"2000";"262,74";"";"";3538204
"Pinhalzinho";"2010";"565,9";"20,23";"5,39";3538204
"Piquerobi";"2000";"208,38";"";"";3538303
"Piquerobi";"2010";"478,97";"28,79";"7,57";3538303
"Piquete";"2000";"288,41";"";"";3538501
"Piquete";"2010";"595,08";"26,83";"8,97";3538501
"Piracaia";"2000";"294,45";"";"";3538600
"Piracaia";"2010";"604,33";"22,07";"7,86";3538600
"Piracicaba";"2000";"454,51";"";"";3538709
"Piracicaba";"2010";"912,22";"13,58";"5,4";3538709
"Piraju";"2000";"333,71";"";"";3538808
"Piraju";"2010";"655,17";"18,46";"4,62";3538808
"Pirajuí";"2000";"249,15";"";"";3538907
"Pirajuí";"2010";"570,01";"22,08";"8,13";3538907
"Pirangi";"2000";"262,74";"";"";3539004
"Pirangi";"2010";"740,23";"10,42";"2,48";3539004
"Pirapora do Bom Jesus";"2000";"237,07";"";"";3539103
"Pirapora do Bom Jesus";"2010";"443,73";"33,95";"13,67";3539103
"Pirapozinho";"2000";"292,94";"";"";3539202
"Pirapozinho";"2010";"597,43";"21,83";"6,14";3539202
"Pirassununga";"2000";"401,66";"";"";3539301
"Pirassununga";"2010";"874,26";"13,1";"3,91";3539301
"Piratininga";"2000";"345,79";"";"";3539400
"Piratininga";"2010";"768,8";"15,4";"4,73";3539400
"Pitangueiras";"2000";"243,11";"";"";3539509
"Pitangueiras";"2010";"557,25";"22,49";"8,32";3539509
"Planalto";"2000";"283,88";"";"";3539608
"Planalto";"2010";"534,54";"20,13";"4,98";3539608
"Platina";"2000";"185,73";"";"";3539707
"Platina";"2010";"472,07";"29,34";"8,72";3539707
"Poá";"2000";"302";"";"";3539806
"Poá";"2010";"569,23";"24,26";"9,59";3539806
"Poloni";"2000";"308,04";"";"";3539905
"Poloni";"2010";"714,21";"10,48";"1,44";3539905
"Pompéia";"2000";"314,08";"";"";3540002
"Pompéia";"2010";"717,26";"19,23";"6,68";3540002
"Pongaí";"2000";"305,02";"";"";3540101
"Pongaí";"2010";"594,12";"20,55";"5,85";3540101
"Pontal";"2000";"356,36";"";"";3540200
"Pontal";"2010";"566,34";"21,6";"8,17";3540200
"Pontalinda";"2000";"132,88";"";"";3540259
"Pontalinda";"2010";"482,85";"22,26";"6,31";3540259
"Pontes Gestal";"2000";"190,26";"";"";3540309
"Pontes Gestal";"2010";"613,95";"16,21";"3,31";3540309
"Populina";"2000";"190,26";"";"";3540408
"Populina";"2010";"548,45";"20,01";"3,86";3540408
"Porangaba";"2000";"234,05";"";"";3540507
"Porangaba";"2010";"550,88";"30,87";"12,8";3540507
"Porto Feliz";"2000";"289,92";"";"";3540606
"Porto Feliz";"2010";"650,62";"17,72";"5,53";3540606
"Porto Ferreira";"2000";"338,24";"";"";3540705
"Porto Ferreira";"2010";"651,87";"17,59";"5,94";3540705
"Potim";"2000";"182,71";"";"";3540754
"Potim";"2010";"355,02";"31,49";"9,29";3540754
"Potirendaba";"2000";"302";"";"";3540804
"Potirendaba";"2010";"707,62";"12,85";"3,53";3540804
"Pracinha";"2000";"122,31";"";"";3540853
"Pracinha";"2010";"229,79";"30,97";"9,07";3540853
"Pradópolis";"2000";"279,35";"";"";3540903
"Pradópolis";"2010";"648,98";"16,97";"6,53";3540903
"Praia Grande";"2000";"377,5";"";"";3541000
"Praia Grande";"2010";"663,09";"21,5";"8,5";3541000
"Pratânia";"2000";"294,45";"";"";3541059
"Pratânia";"2010";"520,96";"19,51";"3,35";3541059
"Presidente Alves";"2000";"228,01";"";"";3541109
"Presidente Alves";"2010";"560,51";"26,61";"10,45";3541109
"Presidente Bernardes";"2000";"241,6";"";"";3541208
"Presidente Bernardes";"2010";"623,02";"21,11";"6,55";3541208
"Presidente Epitácio";"2000";"292,94";"";"";3541307
"Presidente Epitácio";"2010";"569,62";"25,97";"8,76";3541307
"Presidente Prudente";"2000";"478,67";"";"";3541406
"Presidente Prudente";"2010";"881,16";"14,63";"4,62";3541406
"Presidente Venceslau";"2000";"351,83";"";"";3541505
"Presidente Venceslau";"2010";"711,5";"18,91";"5,88";3541505
"Promissão";"2000";"264,25";"";"";3541604
"Promissão";"2010";"601,82";"20,84";"7,34";3541604
"Quadra";"2000";"187,24";"";"";3541653
"Quadra";"2010";"581,6";"24,49";"8,2";3541653
"Quatá";"2000";"267,27";"";"";3541703
"Quatá";"2010";"585,28";"20,06";"5,93";3541703
"Queiroz";"2000";"132,88";"";"";3541802
"Queiroz";"2010";"459,36";"26,93";"9,32";3541802
"Queluz";"2000";"228,01";"";"";3541901
"Queluz";"2010";"471,53";"32,54";"11,52";3541901
"Quintana";"2000";"215,93";"";"";3542008
"Quintana";"2010";"512,96";"24,86";"8,12";3542008
"Rafard";"2000";"294,45";"";"";3542107
"Rafard";"2010";"593,33";"17,99";"6,7";3542107
"Rancharia";"2000";"261,23";"";"";3542206
"Rancharia";"2010";"598,42";"22,11";"6,33";3542206
"Redenção da Serra";"2000";"166,1";"";"";3542305
"Redenção da Serra";"2010";"392,3";"40,62";"16,28";3542305
"Regente Feijó";"2000";"295,96";"";"";3542404
"Regente Feijó";"2010";"642,12";"17,03";"4,75";3542404
"Reginópolis";"2000";"265,76";"";"";3542503
"Reginópolis";"2010";"439,88";"19,99";"6,74";3542503
"Registro";"2000";"289,92";"";"";3542602
"Registro";"2010";"579,64";"30,21";"11,7";3542602
"Restinga";"2000";"182,71";"";"";3542701
"Restinga";"2010";"446,72";"28,48";"9,53";3542701
"Ribeira";"2000";"134,39";"";"";3542800
"Ribeira";"2010";"367,88";"43,02";"17,08";3542800
"Ribeirão Bonito";"2000";"270,29";"";"";3542909
"Ribeirão Bonito";"2010";"590,72";"19,72";"4,51";3542909
"Ribeirão Branco";"2000";"120,8";"";"";3543006
"Ribeirão Branco";"2010";"286,52";"55,33";"24,65";3543006
"Ribeirão Corrente";"2000";"187,24";"";"";3543105
"Ribeirão Corrente";"2010";"518,14";"23,31";"6,08";3543105
"Ribeirão do Sul";"2000";"197,81";"";"";3543204
"Ribeirão do Sul";"2010";"600,6";"22,57";"5,26";3543204
"Ribeirão dos Índios";"2000";"144,96";"";"";3543238
"Ribeirão dos Índios";"2010";"445,68";"25,67";"6,32";3543238
"Ribeirão Grande";"2000";"167,61";"";"";3543253
"Ribeirão Grande";"2010";"372,03";"40,34";"15,53";3543253
"Ribeirão Pires";"2000";"360,89";"";"";3543303
"Ribeirão Pires";"2010";"726,35";"19,5";"8,66";3543303
"Ribeirão Preto";"2000";"539,07";"";"";3543402
