"Localidades";"Períodos";"Renda per Capita - Censo Demográfico (Em reais correntes)";"Domicílios Particulares com Renda per Capita até 1/2 Salário Mínimo - Censo Demográfico (Em %)";"Domicílios Particulares com Renda per Capita até 1/4 do Salário Mínimo - Censo Demográfico (Em %)";"Cód. IBGE"
"Atibaia";"2010";"871,55";"15,76";"5,64";3504107
"Auriflama";"2000";"326,16";"";"";3504206
"Auriflama";"2010";"676,26";"13,66";"3,01";3504206
"Avaí";"2000";"209,89";"";"";3504305
"Avaí";"2010";"474,78";"32,52";"12,27";3504305
"Avanhandava";"2000";"212,91";"";"";3504404
"Avanhandava";"2010";"465,53";"24,02";"6,84";3504404
"Avaré";"2000";"366,93";"";"";3504503
"Avaré";"2010";"723,28";"17,27";"5,22";3504503
"Bady Bassitt";"2000";"317,1";"";"";3504602
"Bady Bassitt";"2010";"693,08";"12,6";"4,65";3504602
"Balbinos";"2000";"229,52";"";"";3504701
"Balbinos";"2010";"205,84";"20,47";"5,76";3504701
"Bálsamo";"2000";"433,37";"";"";3504800
"Bálsamo";"2010";"735,55";"11,88";"2,76";3504800
"Bananal";"2000";"261,23";"";"";3504909
"Bananal";"2010";"528,97";"32,49";"10,57";3504909
"Barão de Antonina";"2000";"173,65";"";"";3505005
"Barão de Antonina";"2010";"446,88";"36,16";"14,01";3505005
"Barbosa";"2000";"193,28";"";"";3505104
"Barbosa";"2010";"489,35";"24,73";"7,7";3505104
"Bariri";"2000";"336,73";"";"";3505203
"Bariri";"2010";"677,08";"12,82";"3,05";3505203
"Barra Bonita";"2000";"369,95";"";"";3505302
"Barra Bonita";"2010";"729,78";"12,37";"3,2";3505302
"Barra do Chapéu";"2000";"104,19";"";"";3505351
"Barra do Chapéu";"2010";"303,98";"56,02";"27,24";3505351
"Barra do Turvo";"2000";"104,19";"";"";3505401
"Barra do Turvo";"2010";"359,38";"46,85";"22,06";3505401
"Barretos";"2000";"395,62";"";"";3505500
"Barretos";"2010";"792,94";"13,98";"4,44";3505500
"Barrinha";"2000";"215,93";"";"";3505609
"Barrinha";"2010";"529,22";"21,99";"7,2";3505609
"Barueri";"2000";"495,28";"";"";3505708
"Barueri";"2010";"877,46";"23,05";"8,73";3505708
"Bastos";"2000";"247,64";"";"";3505807
"Bastos";"2010";"518,35";"20,53";"5,94";3505807
"Batatais";"2000";"362,4";"";"";3505906
"Batatais";"2010";"728,19";"15,26";"4,83";3505906
"Bauru";"2000";"495,28";"";"";3506003
"Bauru";"2010";"905,65";"14,35";"5,1";3506003
"Bebedouro";"2000";"339,75";"";"";3506102
"Bebedouro";"2010";"695,75";"16,87";"4,32";3506102
"Bento de Abreu";"2000";"212,91";"";"";3506201
"Bento de Abreu";"2010";"595,68";"16,36";"4,06";3506201
"Bernardino de Campos";"2000";"280,86";"";"";3506300
"Bernardino de Campos";"2010";"579,65";"19,51";"4,57";3506300
"Bertioga";"2000";"336,73";"";"";3506359
"Bertioga";"2010";"617,07";"22,87";"8,11";3506359
"Bilac";"2000";"315,59";"";"";3506409
"Bilac";"2010";"714,09";"11,58";"2,76";3506409
"Birigui";"2000";"371,46";"";"";3506508
"Birigui";"2010";"698,14";"11,64";"3,38";3506508
"Biritiba-Mirim";"2000";"240,09";"";"";3506607
"Biritiba-Mirim";"2010";"478,17";"32,08";"11,18";3506607
"Boa Esperança do Sul";"2000";"243,11";"";"";3506706
"Boa Esperança do Sul";"2010";"505,86";"23,76";"6,9";3506706
"Bocaina";"2000";"305,02";"";"";3506805
"Bocaina";"2010";"679,51";"11,9";"3,07";3506805
"Bofete";"2000";"292,94";"";"";3506904
"Bofete";"2010";"493,07";"28,82";"11,91";3506904
"Boituva";"2000";"329,18";"";"";3507001
"Boituva";"2010";"742,19";"17,01";"5,62";3507001
"Bom Jesus dos Perdões";"2000";"292,94";"";"";3507100
"Bom Jesus dos Perdões";"2010";"603,86";"20,62";"8";3507100
"Bom Sucesso de Itararé";"2000";"134,39";"";"";3507159
"Bom Sucesso de Itararé";"2010";"329,1";"49,35";"19,1";3507159
"Borá";"2000";"237,07";"";"";3507209
"Borá";"2010";"575,59";"17,57";"5,44";3507209
"Boracéia";"2000";"256,7";"";"";3507308
"Boracéia";"2010";"579,94";"16,55";"5,2";3507308
"Borborema";"2000";"267,27";"";"";3507407
"Borborema";"2010";"587,25";"19,15";"4,94";3507407
"Borebi";"2000";"188,75";"";"";3507456
"Borebi";"2010";"494,67";"21,58";"6,19";3507456
"Botucatu";"2000";"424,31";"";"";3507506
"Botucatu";"2010";"897,9";"15,25";"5,22";3507506
"Bragança Paulista";"2000";"397,13";"";"";3507605
"Bragança Paulista";"2010";"776,01";"16,54";"6,12";3507605
"Braúna";"2000";"255,19";"";"";3507704
"Braúna";"2010";"626,65";"14,4";"3,58";3507704
"Brejo Alegre";"2000";"170,63";"";"";3507753
"Brejo Alegre";"2010";"471,63";"18,78";"3,81";3507753
"Brodowski";"2000";"318,61";"";"";3507803
"Brodowski";"2010";"647,89";"17,68";"6,6";3507803
"Brotas";"2000";"345,79";"";"";3507902
"Brotas";"2010";"648,64";"16,61";"4,47";3507902
"Buri";"2000";"173,65";"";"";3508009
"Buri";"2010";"382,31";"44,57";"17,7";3508009
"Buritama";"2000";"289,92";"";"";3508108
"Buritama";"2010";"647,42";"16,97";"4,73";3508108
"Buritizal";"2000";"231,03";"";"";3508207
"Buritizal";"2010";"689,86";"18,43";"5,81";3508207
"Cabrália Paulista";"2000";"179,69";"";"";3508306
"Cabrália Paulista";"2010";"454,44";"30,29";"10,94";3508306
"Cabreúva";"2000";"271,8";"";"";3508405
"Cabreúva";"2010";"583,97";"18,6";"5,99";3508405
"Cachoeira Paulista";"2000";"274,82";"";"";3508603
"Cachoeira Paulista";"2010";"628,07";"25,4";"8,84";3508603
"Caconde";"2000";"250,66";"";"";3508702
"Caconde";"2010";"500,99";"31,85";"9,83";3508702
"Cafelândia";"2000";"314,08";"";"";3508801
"Cafelândia";"2010";"590,1";"22,78";"6,91";3508801
"Caiabu";"2000";"166,1";"";"";3508900
"Caiabu";"2010";"498,11";"19,76";"6,97";3508900
"Caieiras";"2000";"321,63";"";"";3509007
"Caieiras";"2010";"683,16";"19,31";"7,19";3509007
"Caiuá";"2000";"146,47";"";"";3509106
"Caiuá";"2010";"413,05";"33,29";"11,55";3509106
"Cajamar";"2000";"297,47";"";"";3509205
"Cajamar";"2010";"571,55";"24,66";"10,42";3509205
"Cajati";"2000";"170,63";"";"";3509254
"Cajati";"2010";"403,15";"38,86";"15,47";3509254
"Cajobi";"2000";"211,4";"";"";3509304
"Cajobi";"2010";"604,09";"15,39";"3,68";3509304
"Cajuru";"2000";"279,35";"";"";3509403
"Cajuru";"2010";"541,09";"25,14";"9,54";3509403
"Campina do Monte Alegre";"2000";"202,34";"";"";3509452
"Campina do Monte Alegre";"2010";"439,63";"33,26";"11,16";3509452
"Campinas";"2000";"611,55";"";"";3509502
"Campinas";"2010";"1135,29";"14,36";"6,43";3509502
"Campo Limpo Paulista";"2000";"326,16";"";"";3509601
"Campo Limpo Paulista";"2010";"677,02";"17,59";"6,07";3509601
"Campos do Jordão";"2000";"380,52";"";"";3509700
"Campos do Jordão";"2010";"568,87";"23,62";"7,92";3509700
"Campos Novos Paulista";"2000";"199,32";"";"";3509809
"Campos Novos Paulista";"2010";"478,42";"29,2";"8,44";3509809
"Cananéia";"2000";"232,54";"";"";3509908
"Cananéia";"2010";"482,69";"35,34";"14,27";3509908
"Canas";"2000";"161,57";"";"";3509957
"Canas";"2010";"402,53";"39,09";"11,62";3509957
"Cândido Mota";"2000";"259,72";"";"";3510005
"Cândido Mota";"2010";"572,73";"22,94";"7,35";3510005
"Cândido Rodrigues";"2000";"223,48";"";"";3510104
"Cândido Rodrigues";"2010";"645,66";"9,78";"2,19";3510104
"Canitar";"2000";"154,02";"";"";3510153
"Canitar";"2010";"426,26";"27,42";"6,73";3510153
"Capão Bonito";"2000";"184,22";"";"";3510203
"Capão Bonito";"2010";"449,04";"36,18";"13,46";3510203
"Capela do Alto";"2000";"191,77";"";"";3510302
"Capela do Alto";"2010";"464,89";"28,22";"8,2";3510302
"Capivari";"2000";"318,61";"";"";3510401
"Capivari";"2010";"669,18";"16,03";"5,02";3510401
"Caraguatatuba";"2000";"326,16";"";"";3510500
"Caraguatatuba";"2010";"641,55";"23,39";"8,98";3510500
"Carapicuíba";"2000";"274,82";"";"";3510609
"Carapicuíba";"2010";"577,56";"25,03";"10,89";3510609
"Cardoso";"2000";"246,13";"";"";3510708
"Cardoso";"2010";"540,04";"24,68";"7,87";3510708
"Casa Branca";"2000";"326,16";"";"";3510807
"Casa Branca";"2010";"637,9";"20,97";"6,75";3510807
"Cássia dos Coqueiros";"2000";"237,07";"";"";3510906
"Cássia dos Coqueiros";"2010";"511,87";"26,16";"6,21";3510906
"Castilho";"2000";"187,24";"";"";3511003
"Castilho";"2010";"487,8";"32,21";"13,96";3511003
"Catanduva";"2000";"385,05";"";"";3511102
"Catanduva";"2010";"819,66";"11,47";"3,8";3511102
"Catiguá";"2000";"244,62";"";"";3511201
"Catiguá";"2010";"677,03";"10,77";"2,27";3511201
"Caçapava";"2000";"362,4";"";"";3508504
"Caçapava";"2010";"719,83";"18,95";"6,58";3508504
"Cedral";"2000";"282,37";"";"";3511300
"Cedral";"2010";"736,05";"13,49";"4,85";3511300
"Cerqueira César";"2000";"265,76";"";"";3511409
"Cerqueira César";"2010";"586,82";"19,46";"5,29";3511409
"Cerquilho";"2000";"421,29";"";"";3511508
"Cerquilho";"2010";"784,71";"8,68";"1,88";3511508
"Cesário Lange";"2000";"220,46";"";"";3511607
"Cesário Lange";"2010";"536,8";"20,67";"5,95";3511607
"Charqueada";"2000";"280,86";"";"";3511706
"Charqueada";"2010";"615,79";"18,2";"6,59";3511706
"Chavantes";"2000";"262,74";"";"";3557204
"Chavantes";"2010";"586,48";"21,77";"5,63";3557204
"Clementina";"2000";"196,3";"";"";3511904
"Clementina";"2010";"580,29";"15";"3,56";3511904
"Colina";"2000";"268,78";"";"";3512001
"Colina";"2010";"616,07";"19,4";"5,53";3512001
"Colômbia";"2000";"259,72";"";"";3512100
"Colômbia";"2010";"534,01";"22,96";"7,82";3512100
"Conchal";"2000";"249,15";"";"";3512209
"Conchal";"2010";"522,73";"23,46";"7,53";3512209
"Conchas";"2000";"371,46";"";"";3512308
"Conchas";"2010";"633,57";"20,75";"7,29";3512308
"Cordeirópolis";"2000";"368,44";"";"";3512407
"Cordeirópolis";"2010";"695,07";"13,98";"4,74";3512407
"Coroados";"2000";"243,11";"";"";3512506
"Coroados";"2010";"561,28";"17,97";"4,55";3512506
"Coronel Macedo";"2000";"176,67";"";"";3512605
"Coronel Macedo";"2010";"406,58";"38,76";"13,57";3512605
"Corumbataí";"2000";"289,92";"";"";3512704
"Corumbataí";"2010";"646,92";"19,74";"6,91";3512704
"Cosmópolis";"2000";"302";"";"";3512803
"Cosmópolis";"2010";"703,59";"17,14";"7,59";3512803
"Cosmorama";"2000";"224,99";"";"";3512902
"Cosmorama";"2010";"580,78";"18,73";"5,69";3512902
"Cotia";"2000";"430,35";"";"";3513009
"Cotia";"2010";"882,64";"21,22";"8,97";3513009
"Cravinhos";"2000";"351,83";"";"";3513108
"Cravinhos";"2010";"663,68";"14,98";"3,8";3513108
"Cristais Paulista";"2000";"253,68";"";"";3513207
"Cristais Paulista";"2010";"606,96";"19,89";"4,35";3513207
"Cruzália";"2000";"270,29";"";"";3513306
"Cruzália";"2010";"619,43";"21,57";"7,06";3513306
"Cruzeiro";"2000";"314,08";"";"";3513405
"Cruzeiro";"2010";"649,81";"23,57";"8,45";3513405
"Cubatão";"2000";"267,27";"";"";3513504
"Cubatão";"2010";"569,82";"26,14";"11,87";3513504
"Cunha";"2000";"151";"";"";3513603
"Cunha";"2010";"393,08";"43,44";"16,47";3513603
"Descalvado";"2000";"359,38";"";"";3513702
"Descalvado";"2010";"666,9";"16,99";"5,29";3513702
"Diadema";"2000";"292,94";"";"";3513801
"Diadema";"2010";"564,99";"24,46";"10,56";3513801
"Dirce Reis";"2000";"188,75";"";"";3513850
"Dirce Reis";"2010";"486,14";"18,17";"4,92";3513850
"Divinolândia";"2000";"235,56";"";"";3513900
"Divinolândia";"2010";"576,46";"20,84";"5,97";3513900
"Dobrada";"2000";"218,95";"";"";3514007
"Dobrada";"2010";"549,79";"18,32";"4,53";3514007
"Dois Córregos";"2000";"338,24";"";"";3514106
"Dois Córregos";"2010";"616,58";"17,53";"4,51";3514106
"Dolcinópolis";"2000";"202,34";"";"";3514205
"Dolcinópolis";"2010";"560,96";"14,72";"2,92";3514205
"Dourado";"2000";"264,25";"";"";3514304
"Dourado";"2010";"621,72";"15,29";"5,14";3514304
"Dracena";"2000";"362,4";"";"";3514403
"Dracena";"2010";"747,92";"12,18";"2,99";3514403
"Duartina";"2000";"255,19";"";"";3514502
"Duartina";"2010";"605,48";"19,35";"4,97";3514502
"Dumont";"2000";"365,42";"";"";3514601
"Dumont";"2010";"600,51";"17,92";"6,5";3514601
"Echaporã";"2000";"231,03";"";"";3514700
"Echaporã";"2010";"579,22";"23,99";"5,82";3514700
"Eldorado";"2000";"172,14";"";"";3514809
"Eldorado";"2010";"373,5";"45,66";"20,18";3514809
"Elias Fausto";"2000";"235,56";"";"";3514908
"Elias Fausto";"2010";"527,37";"23,97";"8,76";3514908
"Elisiário";"2000";"200,83";"";"";3514924
"Elisiário";"2010";"618,39";"8,65";"2,01";3514924
"Embaúba";"2000";"157,04";"";"";3514957
"Embaúba";"2010";"683,03";"12,09";"2,74";3514957
"Embu das Artes";"2000";"244,62";"";"";3515004
"Embu das Artes";"2010";"474,17";"29,22";"11,77";3515004
"Embu-Guaçu";"2000";"294,45";"";"";3515103
"Embu-Guaçu";"2010";"516,15";"30,36";"12,35";3515103
"Emilianópolis";"2000";"359,38";"";"";3515129
"Emilianópolis";"2010";"559,19";"20,53";"4,03";3515129
"Engenheiro Coelho";"2000";"318,61";"";"";3515152
"Engenheiro Coelho";"2010";"616,17";"22,61";"7,52";3515152
"Espírito Santo do Pinhal";"2000";"348,81";"";"";3515186
"Espírito Santo do Pinhal";"2010";"741,6";"14,92";"4,28";3515186
"Espírito Santo do Turvo";"2000";"217,44";"";"";3515194
"Espírito Santo do Turvo";"2010";"476,15";"23,38";"6,55";3515194
"Estiva Gerbi";"2000";"246,13";"";"";3557303
"Estiva Gerbi";"2010";"581,02";"17,11";"4,11";3557303
"Estrela d'Oeste";"2000";"182,71";"";"";3515202
"Estrela d'Oeste";"2010";"695,99";"18,02";"6,65";3515202
"Estrela do Norte";"2000";"264,25";"";"";3515301
"Estrela do Norte";"2010";"566,78";"23,98";"5,71";3515301
"Euclides da Cunha Paulista";"2000";"135,9";"";"";3515350
"Euclides da Cunha Paulista";"2010";"400,5";"38,11";"14,45";3515350
"Fartura";"2000";"244,62";"";"";3515400
"Fartura";"2010";"555,54";"21,86";"6,02";3515400
"Fernando Prestes";"2000";"250,66";"";"";3515608
"Fernando Prestes";"2010";"726,55";"9,55";"1,46";3515608
"Fernandópolis";"2000";"366,93";"";"";3515509
"Fernandópolis";"2010";"768,74";"13,08";"3,65";3515509
"Fernão";"2000";"283,88";"";"";3515657
"Fernão";"2010";"454,68";"32,49";"10,12";3515657
"Ferraz de Vasconcelos";"2000";"220,46";"";"";3515707
"Ferraz de Vasconcelos";"2010";"460,59";"29,89";"11,46";3515707
"Flora Rica";"2000";"184,22";"";"";3515806
"Flora Rica";"2010";"480,05";"29,33";"10,9";3515806
"Floreal";"2000";"282,37";"";"";3515905
"Floreal";"2010";"677,82";"13,82";"2,86";3515905
"Flórida Paulista";"2000";"218,95";"";"";3516002
"Flórida Paulista";"2010";"501,49";"20,75";"7,16";3516002
"Florínia";"2000";"169,12";"";"";3516101
"Florínia";"2010";"474,05";"30,86";"13,79";3516101
"Franca";"2000";"359,38";"";"";3516200
"Franca";"2010";"716,39";"14,13";"4,23";3516200
"Francisco Morato";"2000";"176,67";"";"";3516309
"Francisco Morato";"2010";"396,07";"34,62";"14,13";3516309
"Franco da Rocha";"2000";"234,05";"";"";3516408
"Franco da Rocha";"2010";"479,44";"28,13";"12,08";3516408
"Gabriel Monteiro";"2000";"223,48";"";"";3516507
"Gabriel Monteiro";"2010";"631,37";"9,96";"2,54";3516507
"Gália";"2000";"235,56";"";"";3516606
"Gália";"2010";"526,55";"24,72";"5,38";3516606
"Garça";"2000";"305,02";"";"";3516705
"Garça";"2010";"644,36";"20,38";"6,52";3516705
"Gastão Vidigal";"2000";"267,27";"";"";3516804
"Gastão Vidigal";"2010";"623,15";"17,14";"4,06";3516804
"Gavião Peixoto";"2000";"206,87";"";"";3516853
"Gavião Peixoto";"2010";"577,11";"16,19";"4,65";3516853
"General Salgado";"2000";"259,72";"";"";3516903
"General Salgado";"2010";"685,51";"16,85";"5,01";3516903
"Getulina";"2000";"232,54";"";"";3517000
"Getulina";"2010";"482,7";"24,32";"8,47";3517000
"Glicério";"2000";"218,95";"";"";3517109
"Glicério";"2010";"607,26";"16,08";"2,95";3517109
"Guaimbê";"2000";"202,34";"";"";3517307
"Guaimbê";"2010";"470,88";"26,82";"6,5";3517307
"Guaíra";"2000";"305,02";"";"";3517406
"Guaíra";"2010";"652,5";"19";"7,24";3517406
"Guaiçara";"2000";"220,46";"";"";3517208
"Guaiçara";"2010";"551,66";"17,61";"4,36";3517208
"Guapiara";"2000";"170,63";"";"";3517604
"Guapiara";"2010";"307,49";"51,85";"24,14";3517604
"Guapiaçu";"2000";"333,71";"";"";3517505
"Guapiaçu";"2010";"618,66";"17,29";"5,95";3517505
"Guará";"2000";"247,64";"";"";3517703
"Guará";"2010";"544,41";"25,38";"8,6";3517703
"Guaraci";"2000";"232,54";"";"";3517901
"Guaraci";"2010";"557,33";"21,7";"5,73";3517901
"Guarani d'Oeste";"2000";"199,32";"";"";3518008
"Guarani d'Oeste";"2010";"497,96";"22,9";"7,25";3518008
