"Localidades";"Períodos";"Taxa Geométrica de Crescimento Anual da População - 2010/2019 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 2000/2010 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1991/2000 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1980/1991 (Em % a.a.)";"Cód. IBGE"
"Castilho";"1991";"";"";"";"1,62";3511003
"Castilho";"2000";"";"";"0,28";"";3511003
"Castilho";"2010";"";"1,86";"";"";3511003
"Castilho";"2019";"1,45";"";"";"";3511003
"Catanduva";"1991";"";"";"";"2,28";3511102
"Catanduva";"2000";"";"";"1,74";"";3511102
"Catanduva";"2010";"";"0,65";"";"";3511102
"Catanduva";"2019";"0,39";"";"";"";3511102
"Catiguá";"1991";"";"";"";"0,9";3511201
"Catiguá";"2000";"";"";"0,52";"";3511201
"Catiguá";"2010";"";"0,84";"";"";3511201
"Catiguá";"2019";"0,56";"";"";"";3511201
"Caçapava";"1991";"";"";"";"2,29";3508504
"Caçapava";"2000";"";"";"1,64";"";3508504
"Caçapava";"2010";"";"1,08";"";"";3508504
"Caçapava";"2019";"0,76";"";"";"";3508504
"Cedral";"1991";"";"";"";"-0,76";3511300
"Cedral";"2000";"";"";"1,78";"";3511300
"Cedral";"2010";"";"1,75";"";"";3511300
"Cedral";"2019";"1,06";"";"";"";3511300
"Cerqueira César";"1991";"";"";"";"1,65";3511409
"Cerqueira César";"2000";"";"";"1,86";"";3511409
"Cerqueira César";"2010";"";"1,48";"";"";3511409
"Cerqueira César";"2019";"0,94";"";"";"";3511409
"Cerquilho";"1991";"";"";"";"4,52";3511508
"Cerquilho";"2000";"";"";"4,41";"";3511508
"Cerquilho";"2010";"";"3";"";"";3511508
"Cerquilho";"2019";"1,65";"";"";"";3511508
"Cesário Lange";"1991";"";"";"";"3,24";3511607
"Cesário Lange";"2000";"";"";"1,65";"";3511607
"Cesário Lange";"2010";"";"1,89";"";"";3511607
"Cesário Lange";"2019";"1,09";"";"";"";3511607
"Charqueada";"1991";"";"";"";"1,72";3511706
"Charqueada";"2000";"";"";"2,19";"";3511706
"Charqueada";"2010";"";"1,48";"";"";3511706
"Charqueada";"2019";"1,18";"";"";"";3511706
"Chavantes";"1991";"";"";"";"0,78";3557204
"Chavantes";"2000";"";"";"0,45";"";3557204
"Chavantes";"2010";"";"-0,06";"";"";3557204
"Chavantes";"2019";"0,09";"";"";"";3557204
"Clementina";"1991";"";"";"";"1,18";3511904
"Clementina";"2000";"";"";"1,14";"";3511904
"Clementina";"2010";"";"2,7";"";"";3511904
"Clementina";"2019";"1,7";"";"";"";3511904
"Colina";"1991";"";"";"";"2,91";3512001
"Colina";"2000";"";"";"0,57";"";3512001
"Colina";"2010";"";"0,42";"";"";3512001
"Colina";"2019";"0,14";"";"";"";3512001
"Colômbia";"1991";"";"";"";"4,25";3512100
"Colômbia";"2000";"";"";"1,39";"";3512100
"Colômbia";"2010";"";"0,08";"";"";3512100
"Colômbia";"2019";"0,09";"";"";"";3512100
"Conchal";"1991";"";"";"";"3,61";3512209
"Conchal";"2000";"";"";"1,89";"";3512209
"Conchal";"2010";"";"1,08";"";"";3512209
"Conchal";"2019";"0,8";"";"";"";3512209
"Conchas";"1991";"";"";"";"0,7";3512308
"Conchas";"2000";"";"";"2,5";"";3512308
"Conchas";"2010";"";"0,91";"";"";3512308
"Conchas";"2019";"0,52";"";"";"";3512308
"Cordeirópolis";"1991";"";"";"";"3,24";3512407
"Cordeirópolis";"2000";"";"";"3,15";"";3512407
"Cordeirópolis";"2010";"";"1,84";"";"";3512407
"Cordeirópolis";"2019";"1,49";"";"";"";3512407
"Coroados";"1991";"";"";"";"0,56";3512506
"Coroados";"2000";"";"";"1,51";"";3512506
"Coroados";"2010";"";"1,72";"";"";3512506
"Coroados";"2019";"1,28";"";"";"";3512506
"Coronel Macedo";"1991";"";"";"";"-0,89";3512605
"Coronel Macedo";"2000";"";"";"-0,33";"";3512605
"Coronel Macedo";"2010";"";"-1,1";"";"";3512605
"Coronel Macedo";"2019";"-0,34";"";"";"";3512605
"Corumbataí";"1991";"";"";"";"1,1";3512704
"Corumbataí";"2000";"";"";"2,08";"";3512704
"Corumbataí";"2010";"";"0,22";"";"";3512704
"Corumbataí";"2019";"0,23";"";"";"";3512704
"Cosmópolis";"1991";"";"";"";"4,24";3512803
"Cosmópolis";"2000";"";"";"2,87";"";3512803
"Cosmópolis";"2010";"";"2,86";"";"";3512803
"Cosmópolis";"2019";"1,99";"";"";"";3512803
"Cosmorama";"1991";"";"";"";"-0,89";3512902
"Cosmorama";"2000";"";"";"-0,67";"";3512902
"Cosmorama";"2010";"";"-0,22";"";"";3512902
"Cosmorama";"2019";"-0,31";"";"";"";3512902
"Cotia";"1991";"";"";"";"6,55";3513009
"Cotia";"2000";"";"";"3,85";"";3513009
"Cotia";"2010";"";"3,05";"";"";3513009
"Cotia";"2019";"2,14";"";"";"";3513009
"Cravinhos";"1991";"";"";"";"2,62";3513108
"Cravinhos";"2000";"";"";"2,64";"";3513108
"Cravinhos";"2010";"";"1,11";"";"";3513108
"Cravinhos";"2019";"0,85";"";"";"";3513108
"Cristais Paulista";"1991";"";"";"";"1,25";3513207
"Cristais Paulista";"2000";"";"";"1,74";"";3513207
"Cristais Paulista";"2010";"";"1,44";"";"";3513207
"Cristais Paulista";"2019";"1,07";"";"";"";3513207
"Cruzália";"1991";"";"";"";"0,97";3513306
"Cruzália";"2000";"";"";"-0,24";"";3513306
"Cruzália";"2010";"";"-1,36";"";"";3513306
"Cruzália";"2019";"-0,74";"";"";"";3513306
"Cruzeiro";"1991";"";"";"";"1,53";3513405
"Cruzeiro";"2000";"";"";"0,79";"";3513405
"Cruzeiro";"2010";"";"0,48";"";"";3513405
"Cruzeiro";"2019";"0,38";"";"";"";3513405
"Cubatão";"1991";"";"";"";"1,34";3513504
"Cubatão";"2000";"";"";"1,95";"";3513504
"Cubatão";"2010";"";"0,93";"";"";3513504
"Cubatão";"2019";"0,86";"";"";"";3513504
"Cunha";"1991";"";"";"";"1,06";3513603
"Cunha";"2000";"";"";"-0,14";"";3513603
"Cunha";"2010";"";"-0,54";"";"";3513603
"Cunha";"2019";"-0,1";"";"";"";3513603
"Descalvado";"1991";"";"";"";"2,16";3513702
"Descalvado";"2000";"";"";"1,33";"";3513702
"Descalvado";"2010";"";"0,72";"";"";3513702
"Descalvado";"2019";"0,44";"";"";"";3513702
"Diadema";"1991";"";"";"";"2,66";3513801
"Diadema";"2000";"";"";"1,79";"";3513801
"Diadema";"2010";"";"0,79";"";"";3513801
"Diadema";"2019";"0,48";"";"";"";3513801
"Dirce Reis";"1991";"";"";"";"NA";3513850
"Dirce Reis";"2000";"";"";"-1,77";"";3513850
"Dirce Reis";"2010";"";"0,38";"";"";3513850
"Dirce Reis";"2019";"0,18";"";"";"";3513850
"Divinolândia";"1991";"";"";"";"1,31";3513900
"Divinolândia";"2000";"";"";"0,17";"";3513900
"Divinolândia";"2010";"";"-0,69";"";"";3513900
"Divinolândia";"2019";"-0,3";"";"";"";3513900
"Dobrada";"1991";"";"";"";"4,22";3514007
"Dobrada";"2000";"";"";"0,23";"";3514007
"Dobrada";"2010";"";"1,25";"";"";3514007
"Dobrada";"2019";"1,17";"";"";"";3514007
"Dois Córregos";"1991";"";"";"";"1,78";3514106
"Dois Córregos";"2000";"";"";"2,05";"";3514106
"Dois Córregos";"2010";"";"0,96";"";"";3514106
"Dois Córregos";"2019";"0,87";"";"";"";3514106
"Dolcinópolis";"1991";"";"";"";"-0,5";3514205
"Dolcinópolis";"2000";"";"";"0,29";"";3514205
"Dolcinópolis";"2010";"";"-0,26";"";"";3514205
"Dolcinópolis";"2019";"-0,27";"";"";"";3514205
"Dourado";"1991";"";"";"";"1,52";3514304
"Dourado";"2000";"";"";"1,19";"";3514304
"Dourado";"2010";"";"0,01";"";"";3514304
"Dourado";"2019";"-0,15";"";"";"";3514304
"Dracena";"1991";"";"";"";"0,87";3514403
"Dracena";"2000";"";"";"0,27";"";3514403
"Dracena";"2010";"";"0,66";"";"";3514403
"Dracena";"2019";"0,41";"";"";"";3514403
"Duartina";"1991";"";"";"";"-0,23";3514502
"Duartina";"2000";"";"";"0,52";"";3514502
"Duartina";"2010";"";"-0,18";"";"";3514502
"Duartina";"2019";"-0,23";"";"";"";3514502
"Dumont";"1991";"";"";"";"3,79";3514601
"Dumont";"2000";"";"";"2,71";"";3514601
"Dumont";"2010";"";"2,59";"";"";3514601
"Dumont";"2019";"1,69";"";"";"";3514601
"Echaporã";"1991";"";"";"";"0,94";3514700
"Echaporã";"2000";"";"";"0,9";"";3514700
"Echaporã";"2010";"";"-0,76";"";"";3514700
"Echaporã";"2019";"-0,17";"";"";"";3514700
"Eldorado";"1991";"";"";"";"1,39";3514809
"Eldorado";"2000";"";"";"0,82";"";3514809
"Eldorado";"2010";"";"0,36";"";"";3514809
"Eldorado";"2019";"0,39";"";"";"";3514809
"Elias Fausto";"1991";"";"";"";"3,13";3514908
"Elias Fausto";"2000";"";"";"2,03";"";3514908
"Elias Fausto";"2010";"";"1,29";"";"";3514908
"Elias Fausto";"2019";"0,98";"";"";"";3514908
"Elisiário";"1991";"";"";"";"NA";3514924
"Elisiário";"2000";"";"";"0,17";"";3514924
"Elisiário";"2010";"";"1,91";"";"";3514924
"Elisiário";"2019";"1,19";"";"";"";3514924
"Embaúba";"1991";"";"";"";"NA";3514957
"Embaúba";"2000";"";"";"0,38";"";3514957
"Embaúba";"2010";"";"-0,22";"";"";3514957
"Embaúba";"2019";"-0,06";"";"";"";3514957
"Embu das Artes";"1991";"";"";"";"4,52";3515004
"Embu das Artes";"2000";"";"";"3,29";"";3515004
"Embu das Artes";"2010";"";"1,48";"";"";3515004
"Embu das Artes";"2019";"1,23";"";"";"";3515004
"Embu-Guaçu";"1991";"";"";"";"4,97";3515103
"Embu-Guaçu";"2000";"";"";"5,3";"";3515103
"Embu-Guaçu";"2010";"";"1,02";"";"";3515103
"Embu-Guaçu";"2019";"0,82";"";"";"";3515103
"Emilianópolis";"1991";"";"";"";"NA";3515129
"Emilianópolis";"2000";"";"";"0,02";"";3515129
"Emilianópolis";"2010";"";"0,43";"";"";3515129
"Emilianópolis";"2019";"0,17";"";"";"";3515129
"Engenheiro Coelho";"1991";"";"";"";"NA";3515152
"Engenheiro Coelho";"2000";"";"";"4,03";"";3515152
"Engenheiro Coelho";"2010";"";"4,59";"";"";3515152
"Engenheiro Coelho";"2019";"2,8";"";"";"";3515152
"Espírito Santo do Pinhal";"1991";"";"";"";"0,99";3515186
"Espírito Santo do Pinhal";"2000";"";"";"0,96";"";3515186
"Espírito Santo do Pinhal";"2010";"";"0,35";"";"";3515186
"Espírito Santo do Pinhal";"2019";"0,16";"";"";"";3515186
"Espírito Santo do Turvo";"1991";"";"";"";"NA";3515194
"Espírito Santo do Turvo";"2000";"";"";"2,4";"";3515194
"Espírito Santo do Turvo";"2010";"";"1,45";"";"";3515194
"Espírito Santo do Turvo";"2019";"1,25";"";"";"";3515194
"Estiva Gerbi";"1991";"";"";"";"NA";3557303
"Estiva Gerbi";"2000";"";"";"3,27";"";3557303
"Estiva Gerbi";"2010";"";"1,28";"";"";3557303
"Estiva Gerbi";"2019";"1";"";"";"";3557303
"Estrela d'Oeste";"1991";"";"";"";"-0,55";3515202
"Estrela d'Oeste";"2000";"";"";"-0,3";"";3515202
"Estrela d'Oeste";"2010";"";"-0,06";"";"";3515202
"Estrela d'Oeste";"2019";"-0,14";"";"";"";3515202
"Estrela do Norte";"1991";"";"";"";"-1,53";3515301
"Estrela do Norte";"2000";"";"";"-0,65";"";3515301
"Estrela do Norte";"2010";"";"0,12";"";"";3515301
"Estrela do Norte";"2019";"0,02";"";"";"";3515301
"Euclides da Cunha Paulista";"1991";"";"";"";"NA";3515350
"Euclides da Cunha Paulista";"2000";"";"";"0,84";"";3515350
"Euclides da Cunha Paulista";"2010";"";"-0,62";"";"";3515350
"Euclides da Cunha Paulista";"2019";"-0,07";"";"";"";3515350
"Fartura";"1991";"";"";"";"1,03";3515400
"Fartura";"2000";"";"";"0,52";"";3515400
"Fartura";"2010";"";"0,21";"";"";3515400
"Fartura";"2019";"0,21";"";"";"";3515400
"Fernando Prestes";"1991";"";"";"";"1,46";3515608
"Fernando Prestes";"2000";"";"";"0,56";"";3515608
"Fernando Prestes";"2010";"";"0,19";"";"";3515608
"Fernando Prestes";"2019";"0,07";"";"";"";3515608
"Fernandópolis";"1991";"";"";"";"1,63";3515509
"Fernandópolis";"2000";"";"";"1,07";"";3515509
"Fernandópolis";"2010";"";"0,49";"";"";3515509
"Fernandópolis";"2019";"0,23";"";"";"";3515509
"Fernão";"1991";"";"";"";"NA";3515657
"Fernão";"2000";"";"";"-1,26";"";3515657
"Fernão";"2010";"";"0,86";"";"";3515657
"Fernão";"2019";"0,54";"";"";"";3515657
"Ferraz de Vasconcelos";"1991";"";"";"";"5,18";3515707
"Ferraz de Vasconcelos";"2000";"";"";"4,53";"";3515707
"Ferraz de Vasconcelos";"2010";"";"1,71";"";"";3515707
"Ferraz de Vasconcelos";"2019";"1,4";"";"";"";3515707
"Flora Rica";"1991";"";"";"";"-1,26";3515806
"Flora Rica";"2000";"";"";"-1,01";"";3515806
"Flora Rica";"2010";"";"-2,14";"";"";3515806
"Flora Rica";"2019";"-1,02";"";"";"";3515806
"Floreal";"1991";"";"";"";"-0,14";3515905
"Floreal";"2000";"";"";"-1,04";"";3515905
"Floreal";"2010";"";"-0,71";"";"";3515905
"Floreal";"2019";"-0,51";"";"";"";3515905
"Flórida Paulista";"1991";"";"";"";"-1,73";3516002
"Flórida Paulista";"2000";"";"";"-1,33";"";3516002
"Flórida Paulista";"2010";"";"1,44";"";"";3516002
"Flórida Paulista";"2019";"-0,57";"";"";"";3516002
"Florínia";"1991";"";"";"";"0,81";3516101
"Florínia";"2000";"";"";"0,49";"";3516101
"Florínia";"2010";"";"-0,99";"";"";3516101
"Florínia";"2019";"-0,47";"";"";"";3516101
"Franca";"1991";"";"";"";"4,14";3516200
"Franca";"2000";"";"";"2,43";"";3516200
"Franca";"2010";"";"1,04";"";"";3516200
"Franca";"2019";"0,73";"";"";"";3516200
"Francisco Morato";"1991";"";"";"";"10,27";3516309
"Francisco Morato";"2000";"";"";"5,49";"";3516309
"Francisco Morato";"2010";"";"1,48";"";"";3516309
"Francisco Morato";"2019";"1,23";"";"";"";3516309
"Franco da Rocha";"1991";"";"";"";"4,85";3516408
"Franco da Rocha";"2000";"";"";"2,7";"";3516408
"Franco da Rocha";"2010";"";"1,99";"";"";3516408
"Franco da Rocha";"2019";"1,49";"";"";"";3516408
"Gabriel Monteiro";"1991";"";"";"";"-1,76";3516507
"Gabriel Monteiro";"2000";"";"";"1,06";"";3516507
"Gabriel Monteiro";"2010";"";"-0,06";"";"";3516507
"Gabriel Monteiro";"2019";"-0,08";"";"";"";3516507
"Gália";"1991";"";"";"";"-1,06";3516606
"Gália";"2000";"";"";"-1,37";"";3516606
"Gália";"2010";"";"-1,13";"";"";3516606
"Gália";"2019";"-0,69";"";"";"";3516606
"Garça";"1991";"";"";"";"0,32";3516705
"Garça";"2000";"";"";"0,47";"";3516705
"Garça";"2010";"";"-0,01";"";"";3516705
"Garça";"2019";"-0,15";"";"";"";3516705
"Gastão Vidigal";"1991";"";"";"";"0,18";3516804
"Gastão Vidigal";"2000";"";"";"-0,73";"";3516804
"Gastão Vidigal";"2010";"";"1,56";"";"";3516804
"Gastão Vidigal";"2019";"1,33";"";"";"";3516804
"Gavião Peixoto";"1991";"";"";"";"NA";3516853
"Gavião Peixoto";"2000";"";"";"0,88";"";3516853
"Gavião Peixoto";"2010";"";"0,69";"";"";3516853
"Gavião Peixoto";"2019";"0,43";"";"";"";3516853
"General Salgado";"1991";"";"";"";"1,06";3516903
"General Salgado";"2000";"";"";"0,58";"";3516903
"General Salgado";"2010";"";"-0,14";"";"";3516903
"General Salgado";"2019";"-0,02";"";"";"";3516903
"Getulina";"1991";"";"";"";"-0,81";3517000
"Getulina";"2000";"";"";"0,26";"";3517000
"Getulina";"2010";"";"0,37";"";"";3517000
"Getulina";"2019";"0,08";"";"";"";3517000
"Glicério";"1991";"";"";"";"-1,37";3517109
"Glicério";"2000";"";"";"0,48";"";3517109
"Glicério";"2010";"";"0,31";"";"";3517109
"Glicério";"2019";"0,4";"";"";"";3517109
"Guaimbê";"1991";"";"";"";"-0,01";3517307
"Guaimbê";"2000";"";"";"0,14";"";3517307
"Guaimbê";"2010";"";"0,41";"";"";3517307
"Guaimbê";"2019";"0,2";"";"";"";3517307
"Guaíra";"1991";"";"";"";"1,72";3517406
"Guaíra";"2000";"";"";"1,26";"";3517406
"Guaíra";"2010";"";"0,78";"";"";3517406
"Guaíra";"2019";"0,45";"";"";"";3517406
"Guaiçara";"1991";"";"";"";"1,62";3517208
"Guaiçara";"2000";"";"";"4,2";"";3517208
"Guaiçara";"2010";"";"1,5";"";"";3517208
"Guaiçara";"2019";"1,16";"";"";"";3517208
"Guapiara";"1991";"";"";"";"1,2";3517604
"Guapiara";"2000";"";"";"0,87";"";3517604
"Guapiara";"2010";"";"-0,9";"";"";3517604
"Guapiara";"2019";"-0,16";"";"";"";3517604
"Guapiaçu";"1991";"";"";"";"4,22";3517505
"Guapiaçu";"2000";"";"";"3,21";"";3517505
"Guapiaçu";"2010";"";"2,41";"";"";3517505
"Guapiaçu";"2019";"1,6";"";"";"";3517505
"Guará";"1991";"";"";"";"1,89";3517703
"Guará";"2000";"";"";"1,64";"";3517703
"Guará";"2010";"";"0,5";"";"";3517703
"Guará";"2019";"0,48";"";"";"";3517703
"Guaraci";"1991";"";"";"";"1,74";3517901
"Guaraci";"2000";"";"";"1,41";"";3517901
"Guaraci";"2010";"";"1,21";"";"";3517901
"Guaraci";"2019";"0,98";"";"";"";3517901
"Guarani d'Oeste";"1991";"";"";"";"-1,83";3518008
"Guarani d'Oeste";"2000";"";"";"0,77";"";3518008
"Guarani d'Oeste";"2010";"";"-0,18";"";"";3518008
"Guarani d'Oeste";"2019";"-0,24";"";"";"";3518008
"Guarantã";"1991";"";"";"";"-0,29";3518107
"Guarantã";"2000";"";"";"1,46";"";3518107
"Guarantã";"2010";"";"0,14";"";"";3518107
"Guarantã";"2019";"0,11";"";"";"";3518107
"Guararapes";"1991";"";"";"";"1,56";3518206
"Guararapes";"2000";"";"";"0,88";"";3518206
"Guararapes";"2010";"";"0,59";"";"";3518206
"Guararapes";"2019";"0,49";"";"";"";3518206
"Guararema";"1991";"";"";"";"1,6";3518305
"Guararema";"2000";"";"";"2,23";"";3518305
"Guararema";"2010";"";"1,67";"";"";3518305
"Guararema";"2019";"1,33";"";"";"";3518305
"Guaratinguetá";"1991";"";"";"";"1,68";3518404
"Guaratinguetá";"2000";"";"";"1,37";"";3518404
"Guaratinguetá";"2010";"";"0,73";"";"";3518404
"Guaratinguetá";"2019";"0,56";"";"";"";3518404
"Guaraçaí";"1991";"";"";"";"-0,11";3517802
"Guaraçaí";"2000";"";"";"0,77";"";3517802
"Guaraçaí";"2010";"";"-0,52";"";"";3517802
"Guaraçaí";"2019";"-0,03";"";"";"";3517802
"Guareí";"1991";"";"";"";"1,86";3518503
"Guareí";"2000";"";"";"2,09";"";3518503
"Guareí";"2010";"";"3,62";"";"";3518503
"Guareí";"2019";"0,82";"";"";"";3518503
"Guariba";"1991";"";"";"";"3,91";3518602
"Guariba";"2000";"";"";"0,91";"";3518602
"Guariba";"2010";"";"1,33";"";"";3518602
"Guariba";"2019";"0,97";"";"";"";3518602
"Guarujá";"1991";"";"";"";"3,03";3518701
"Guarujá";"2000";"";"";"2,65";"";3518701
"Guarujá";"2010";"";"0,95";"";"";3518701
"Guarujá";"2019";"0,86";"";"";"";3518701
"Guarulhos";"1991";"";"";"";"3,6";3518800
"Guarulhos";"2000";"";"";"3,54";"";3518800
"Guarulhos";"2010";"";"1,33";"";"";3518800
"Guarulhos";"2019";"1,03";"";"";"";3518800
"Guatapará";"1991";"";"";"";"NA";3518859
"Guatapará";"2000";"";"";"1,11";"";3518859
"Guatapará";"2010";"";"0,9";"";"";3518859
"Guatapará";"2019";"0,67";"";"";"";3518859
"Guzolândia";"1991";"";"";"";"1,45";3518909
"Guzolândia";"2000";"";"";"-1,75";"";3518909
"Guzolândia";"2010";"";"1";"";"";3518909
"Guzolândia";"2019";"0,73";"";"";"";3518909
"Herculândia";"1991";"";"";"";"-0,07";3519006
"Herculândia";"2000";"";"";"1,41";"";3519006
"Herculândia";"2010";"";"0,85";"";"";3519006
"Herculândia";"2019";"0,64";"";"";"";3519006
"Holambra";"1991";"";"";"";"NA";3519055
"Holambra";"2000";"";"";"2,74";"";3519055
"Holambra";"2010";"";"4,58";"";"";3519055
"Holambra";"2019";"2,61";"";"";"";3519055
"Hortolândia";"1991";"";"";"";"NA";3519071
"Hortolândia";"2000";"";"";"6,73";"";3519071
"Hortolândia";"2010";"";"2,4";"";"";3519071
"Hortolândia";"2019";"1,83";"";"";"";3519071
"Iacanga";"1991";"";"";"";"1,24";3519105
"Iacanga";"2000";"";"";"1,04";"";3519105
"Iacanga";"2010";"";"1,91";"";"";3519105
"Iacanga";"2019";"1,25";"";"";"";3519105
"Iacri";"1991";"";"";"";"-2,4";3519204
"Iacri";"2000";"";"";"-0,46";"";3519204
"Iacri";"2010";"";"-0,55";"";"";3519204
"Iacri";"2019";"-0,23";"";"";"";3519204
"Iaras";"1991";"";"";"";"NA";3519253
"Iaras";"2000";"";"";"3,99";"";3519253
"Iaras";"2010";"";"7,61";"";"";3519253
"Iaras";"2019";"0,85";"";"";"";3519253
"Ibaté";"1991";"";"";"";"4,63";3519303
"Ibaté";"2000";"";"";"3,89";"";3519303
"Ibaté";"2010";"";"1,53";"";"";3519303
"Ibaté";"2019";"1,26";"";"";"";3519303
"Ibirá";"1991";"";"";"";"0,5";3519402
"Ibirá";"2000";"";"";"0,88";"";3519402
"Ibirá";"2010";"";"1,43";"";"";3519402
"Ibirá";"2019";"1,04";"";"";"";3519402
"Ibirarema";"1991";"";"";"";"1,15";3519501
"Ibirarema";"2000";"";"";"0,43";"";3519501
"Ibirarema";"2010";"";"1,66";"";"";3519501
"Ibirarema";"2019";"1,13";"";"";"";3519501
"Ibitinga";"1991";"";"";"";"2,5";3519600
"Ibitinga";"2000";"";"";"2,25";"";3519600
"Ibitinga";"2010";"";"1,33";"";"";3519600
"Ibitinga";"2019";"0,99";"";"";"";3519600
"Ibiúna";"1991";"";"";"";"4,02";3519709
"Ibiúna";"2000";"";"";"3,11";"";3519709
"Ibiúna";"2010";"";"1,03";"";"";3519709
"Ibiúna";"2019";"0,72";"";"";"";3519709
"Icém";"1991";"";"";"";"1,5";3519808
"Icém";"2000";"";"";"1,16";"";3519808
"Icém";"2010";"";"0,98";"";"";3519808
"Icém";"2019";"0,75";"";"";"";3519808
"Iepê";"1991";"";"";"";"0,62";3519907
"Iepê";"2000";"";"";"-0,11";"";3519907
"Iepê";"2010";"";"0,49";"";"";3519907
"Iepê";"2019";"0,38";"";"";"";3519907
"Igarapava";"1991";"";"";"";"0,85";3520103
"Igarapava";"2000";"";"";"1,72";"";3520103
"Igarapava";"2010";"";"0,76";"";"";3520103
"Igarapava";"2019";"0,54";"";"";"";3520103
"Igaratá";"1991";"";"";"";"3,37";3520202
"Igaratá";"2000";"";"";"3,14";"";3520202
"Igaratá";"2010";"";"0,65";"";"";3520202
"Igaratá";"2019";"0,54";"";"";"";3520202
"Igaraçu do Tietê";"1991";"";"";"";"4,61";3520004
"Igaraçu do Tietê";"2000";"";"";"0,95";"";3520004
"Igaraçu do Tietê";"2010";"";"0,33";"";"";3520004
"Igaraçu do Tietê";"2019";"0,33";"";"";"";3520004
"Iguape";"1991";"";"";"";"1,62";3520301
"Iguape";"2000";"";"";"0,74";"";3520301
"Iguape";"2010";"";"0,51";"";"";3520301
"Iguape";"2019";"0,21";"";"";"";3520301
"Ilha Comprida";"1991";"";"";"";"NA";3520426
"Ilha Comprida";"2000";"";"";"9,51";"";3520426
"Ilha Comprida";"2010";"";"3,07";"";"";3520426
"Ilha Comprida";"2019";"1,36";"";"";"";3520426
"Ilha Solteira";"1991";"";"";"";"NA";3520442
"Ilha Solteira";"2000";"";"";"1,03";"";3520442
"Ilha Solteira";"2010";"";"0,44";"";"";3520442
"Ilha Solteira";"2019";"0,28";"";"";"";3520442
"Ilhabela";"1991";"";"";"";"5,13";3520400
"Ilhabela";"2000";"";"";"4,95";"";3520400
"Ilhabela";"2010";"";"3,09";"";"";3520400
"Ilhabela";"2019";"1,78";"";"";"";3520400
"Indaiatuba";"1991";"";"";"";"5,45";3520509
"Indaiatuba";"2000";"";"";"4,34";"";3520509
"Indaiatuba";"2010";"";"3,22";"";"";3520509
"Indaiatuba";"2019";"1,96";"";"";"";3520509
"Indiana";"1991";"";"";"";"0,53";3520608
"Indiana";"2000";"";"";"0,72";"";3520608
"Indiana";"2010";"";"-0,21";"";"";3520608
"Indiana";"2019";"-0,11";"";"";"";3520608
"Indiaporã";"1991";"";"";"";"-2,86";3520707
"Indiaporã";"2000";"";"";"-1,81";"";3520707
"Indiaporã";"2010";"";"-0,4";"";"";3520707
"Indiaporã";"2019";"-0,13";"";"";"";3520707
"Inúbia Paulista";"1991";"";"";"";"-2,22";3520806
"Inúbia Paulista";"2000";"";"";"-0,17";"";3520806
"Inúbia Paulista";"2010";"";"0,89";"";"";3520806
"Inúbia Paulista";"2019";"0,71";"";"";"";3520806
"Ipaussu";"1991";"";"";"";"1";3520905
"Ipaussu";"2000";"";"";"1,07";"";3520905
"Ipaussu";"2010";"";"0,85";"";"";3520905
"Ipaussu";"2019";"0,61";"";"";"";3520905
"Iperó";"1991";"";"";"";"4,35";3521002
"Iperó";"2000";"";"";"6,38";"";3521002
"Iperó";"2010";"";"4,42";"";"";3521002
"Iperó";"2019";"2,02";"";"";"";3521002
"Ipeúna";"1991";"";"";"";"3,5";3521101
"Ipeúna";"2000";"";"";"5,43";"";3521101
"Ipeúna";"2010";"";"3,34";"";"";3521101
"Ipeúna";"2019";"2,37";"";"";"";3521101
"Ipiguá";"1991";"";"";"";"NA";3521150
"Ipiguá";"2000";"";"";"5,4";"";3521150
"Ipiguá";"2010";"";"2,55";"";"";3521150
"Ipiguá";"2019";"1,64";"";"";"";3521150
"Iporanga";"1991";"";"";"";"-0,19";3521200
"Iporanga";"2000";"";"";"-0,14";"";3521200
"Iporanga";"2010";"";"-0,59";"";"";3521200
"Iporanga";"2019";"0,24";"";"";"";3521200
"Ipuã";"1991";"";"";"";"1,14";3521309
"Ipuã";"2000";"";"";"1,55";"";3521309
"Ipuã";"2010";"";"1,77";"";"";3521309
"Ipuã";"2019";"1,17";"";"";"";3521309
"Iracemápolis";"1991";"";"";"";"3,39";3521408
"Iracemápolis";"2000";"";"";"3,01";"";3521408
"Iracemápolis";"2010";"";"2,56";"";"";3521408
"Iracemápolis";"2019";"1,73";"";"";"";3521408
"Irapuã";"1991";"";"";"";"-1,49";3521507
"Irapuã";"2000";"";"";"0,93";"";3521507
"Irapuã";"2010";"";"0,89";"";"";3521507
"Irapuã";"2019";"0,63";"";"";"";3521507
"Irapuru";"1991";"";"";"";"-1,51";3521606
"Irapuru";"2000";"";"";"-1,14";"";3521606
"Irapuru";"2010";"";"0,42";"";"";3521606
"Irapuru";"2019";"-0,6";"";"";"";3521606
"Itaberá";"1991";"";"";"";"0,8";3521705
"Itaberá";"2000";"";"";"0,62";"";3521705
"Itaberá";"2010";"";"-0,56";"";"";3521705
"Itaberá";"2019";"-0,15";"";"";"";3521705
"Itaí";"1991";"";"";"";"1,85";3521804
"Itaí";"2000";"";"";"1,89";"";3521804
