"Localidades";"Períodos";"Taxa Geométrica de Crescimento Anual da População - 2010/2019 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 2000/2010 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1991/2000 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1980/1991 (Em % a.a.)";"Cód. IBGE"
"Andradina";"2019";"0,13";"";"";"";3502101
"Angatuba";"1991";"";"";"";"1,96";3502200
"Angatuba";"2000";"";"";"1,29";"";3502200
"Angatuba";"2010";"";"1,42";"";"";3502200
"Angatuba";"2019";"1";"";"";"";3502200
"Anhembi";"1991";"";"";"";"0,18";3502309
"Anhembi";"2000";"";"";"2,85";"";3502309
"Anhembi";"2010";"";"2,23";"";"";3502309
"Anhembi";"2019";"1,7";"";"";"";3502309
"Anhumas";"1991";"";"";"";"-0,46";3502408
"Anhumas";"2000";"";"";"0,54";"";3502408
"Anhumas";"2010";"";"0,92";"";"";3502408
"Anhumas";"2019";"0,6";"";"";"";3502408
"Aparecida";"1991";"";"";"";"1,16";3502507
"Aparecida";"2000";"";"";"0,54";"";3502507
"Aparecida";"2010";"";"0,03";"";"";3502507
"Aparecida";"2019";"0,2";"";"";"";3502507
"Aparecida d'Oeste";"1991";"";"";"";"-0,1";3502606
"Aparecida d'Oeste";"2000";"";"";"-0,36";"";3502606
"Aparecida d'Oeste";"2010";"";"-1,02";"";"";3502606
"Aparecida d'Oeste";"2019";"-0,75";"";"";"";3502606
"Apiaí";"1991";"";"";"";"2,46";3502705
"Apiaí";"2000";"";"";"0,39";"";3502705
"Apiaí";"2010";"";"-0,74";"";"";3502705
"Apiaí";"2019";"-0,24";"";"";"";3502705
"Aramina";"1991";"";"";"";"1,51";3503000
"Aramina";"2000";"";"";"1,78";"";3503000
"Aramina";"2010";"";"0,8";"";"";3503000
"Aramina";"2019";"0,66";"";"";"";3503000
"Arandu";"1991";"";"";"";"2,8";3503109
"Arandu";"2000";"";"";"0,9";"";3503109
"Arandu";"2010";"";"0,1";"";"";3503109
"Arandu";"2019";"0,07";"";"";"";3503109
"Arapeí";"1991";"";"";"";"NA";3503158
"Arapeí";"2000";"";"";"1,56";"";3503158
"Arapeí";"2010";"";"-0,47";"";"";3503158
"Arapeí";"2019";"-0,1";"";"";"";3503158
"Araraquara";"1991";"";"";"";"2,42";3503208
"Araraquara";"2000";"";"";"1,53";"";3503208
"Araraquara";"2010";"";"1,35";"";"";3503208
"Araraquara";"2019";"0,9";"";"";"";3503208
"Araras";"1991";"";"";"";"2,72";3503307
"Araras";"2000";"";"";"2,01";"";3503307
"Araras";"2010";"";"1,33";"";"";3503307
"Araras";"2019";"1";"";"";"";3503307
"Araçariguama";"1991";"";"";"";"NA";3502754
"Araçariguama";"2000";"";"";"5,58";"";3502754
"Araçariguama";"2010";"";"4,36";"";"";3502754
"Araçariguama";"2019";"2,14";"";"";"";3502754
"Araçatuba";"1991";"";"";"";"1,93";3502804
"Araçatuba";"2000";"";"";"1,19";"";3502804
"Araçatuba";"2010";"";"0,71";"";"";3502804
"Araçatuba";"2019";"0,49";"";"";"";3502804
"Araçoiaba da Serra";"1991";"";"";"";"4,96";3502903
"Araçoiaba da Serra";"2000";"";"";"3,55";"";3502903
"Araçoiaba da Serra";"2010";"";"3,26";"";"";3502903
"Araçoiaba da Serra";"2019";"1,77";"";"";"";3502903
"Arco-Íris";"1991";"";"";"";"NA";3503356
"Arco-Íris";"2000";"";"";"-2,09";"";3503356
"Arco-Íris";"2010";"";"-1,17";"";"";3503356
"Arco-Íris";"2019";"-0,61";"";"";"";3503356
"Arealva";"1991";"";"";"";"0,1";3503406
"Arealva";"2000";"";"";"0,59";"";3503406
"Arealva";"2010";"";"0,79";"";"";3503406
"Arealva";"2019";"0,45";"";"";"";3503406
"Areias";"1991";"";"";"";"-1,07";3503505
"Areias";"2000";"";"";"0,99";"";3503505
"Areias";"2010";"";"0,27";"";"";3503505
"Areias";"2019";"0,38";"";"";"";3503505
"Areiópolis";"1991";"";"";"";"3,65";3503604
"Areiópolis";"2000";"";"";"0,37";"";3503604
"Areiópolis";"2010";"";"0,27";"";"";3503604
"Areiópolis";"2019";"0,25";"";"";"";3503604
"Ariranha";"1991";"";"";"";"0,46";3503703
"Ariranha";"2000";"";"";"2,79";"";3503703
"Ariranha";"2010";"";"1,36";"";"";3503703
"Ariranha";"2019";"0,89";"";"";"";3503703
"Artur Nogueira";"1991";"";"";"";"5,27";3503802
"Artur Nogueira";"2000";"";"";"5,95";"";3503802
"Artur Nogueira";"2010";"";"2,95";"";"";3503802
"Artur Nogueira";"2019";"1,82";"";"";"";3503802
"Arujá";"1991";"";"";"";"7,2";3503901
"Arujá";"2000";"";"";"5,26";"";3503901
"Arujá";"2010";"";"2,41";"";"";3503901
"Arujá";"2019";"1,86";"";"";"";3503901
"Aspásia";"1991";"";"";"";"NA";3503950
"Aspásia";"2000";"";"";"-2,01";"";3503950
"Aspásia";"2010";"";"-0,3";"";"";3503950
"Aspásia";"2019";"-0,25";"";"";"";3503950
"Assis";"1991";"";"";"";"2,17";3504008
"Assis";"2000";"";"";"1,61";"";3504008
"Assis";"2010";"";"0,88";"";"";3504008
"Assis";"2019";"0,65";"";"";"";3504008
"Atibaia";"1991";"";"";"";"3,7";3504107
"Atibaia";"2000";"";"";"2,92";"";3504107
"Atibaia";"2010";"";"1,31";"";"";3504107
"Atibaia";"2019";"1";"";"";"";3504107
"Auriflama";"1991";"";"";"";"0,54";3504206
"Auriflama";"2000";"";"";"0,64";"";3504206
"Auriflama";"2010";"";"0,5";"";"";3504206
"Auriflama";"2019";"0,2";"";"";"";3504206
"Avaí";"1991";"";"";"";"-1,3";3504305
"Avaí";"2000";"";"";"-0,13";"";3504305
"Avaí";"2010";"";"0,75";"";"";3504305
"Avaí";"2019";"0,65";"";"";"";3504305
"Avanhandava";"1991";"";"";"";"2";3504404
"Avanhandava";"2000";"";"";"1,17";"";3504404
"Avanhandava";"2010";"";"2,5";"";"";3504404
"Avanhandava";"2019";"0,71";"";"";"";3504404
"Avaré";"1991";"";"";"";"2,42";3504503
"Avaré";"2000";"";"";"2,55";"";3504503
"Avaré";"2010";"";"0,83";"";"";3504503
"Avaré";"2019";"0,55";"";"";"";3504503
"Bady Bassitt";"1991";"";"";"";"6,58";3504602
"Bady Bassitt";"2000";"";"";"8,17";"";3504602
"Bady Bassitt";"2010";"";"2,42";"";"";3504602
"Bady Bassitt";"2019";"1,17";"";"";"";3504602
"Balbinos";"1991";"";"";"";"0,36";3504701
"Balbinos";"2000";"";"";"0,82";"";3504701
"Balbinos";"2010";"";"10,83";"";"";3504701
"Balbinos";"2019";"0,1";"";"";"";3504701
"Bálsamo";"1991";"";"";"";"1,53";3504800
"Bálsamo";"2000";"";"";"0,95";"";3504800
"Bálsamo";"2010";"";"1,06";"";"";3504800
"Bálsamo";"2019";"0,45";"";"";"";3504800
"Bananal";"1991";"";"";"";"0,32";3504909
"Bananal";"2000";"";"";"0,75";"";3504909
"Bananal";"2010";"";"0,52";"";"";3504909
"Bananal";"2019";"0,41";"";"";"";3504909
"Barão de Antonina";"1991";"";"";"";"-2,41";3505005
"Barão de Antonina";"2000";"";"";"-0,9";"";3505005
"Barão de Antonina";"2010";"";"1,08";"";"";3505005
"Barão de Antonina";"2019";"0,84";"";"";"";3505005
"Barbosa";"1991";"";"";"";"-0,34";3505104
"Barbosa";"2000";"";"";"0,89";"";3505104
"Barbosa";"2010";"";"1,22";"";"";3505104
"Barbosa";"2019";"1,01";"";"";"";3505104
"Bariri";"1991";"";"";"";"1,92";3505203
"Bariri";"2000";"";"";"1,59";"";3505203
"Bariri";"2010";"";"1,14";"";"";3505203
"Bariri";"2019";"0,75";"";"";"";3505203
"Barra Bonita";"1991";"";"";"";"2,84";3505302
"Barra Bonita";"2000";"";"";"1,64";"";3505302
"Barra Bonita";"2010";"";"-0,05";"";"";3505302
"Barra Bonita";"2019";"-0,1";"";"";"";3505302
"Barra do Chapéu";"1991";"";"";"";"NA";3505351
"Barra do Chapéu";"2000";"";"";"-0,1";"";3505351
"Barra do Chapéu";"2010";"";"0,79";"";"";3505351
"Barra do Chapéu";"2019";"0,54";"";"";"";3505351
"Barra do Turvo";"1991";"";"";"";"3,44";3505401
"Barra do Turvo";"2000";"";"";"1,55";"";3505401
"Barra do Turvo";"2010";"";"-0,46";"";"";3505401
"Barra do Turvo";"2019";"-0,07";"";"";"";3505401
"Barretos";"1991";"";"";"";"2,51";3505500
"Barretos";"2000";"";"";"0,97";"";3505500
"Barretos";"2010";"";"0,76";"";"";3505500
"Barretos";"2019";"0,53";"";"";"";3505500
"Barrinha";"1991";"";"";"";"3,76";3505609
"Barrinha";"2000";"";"";"2,86";"";3505609
"Barrinha";"2010";"";"1,65";"";"";3505609
"Barrinha";"2019";"1,3";"";"";"";3505609
"Barueri";"1991";"";"";"";"5,11";3505708
"Barueri";"2000";"";"";"5,39";"";3505708
"Barueri";"2010";"";"1,49";"";"";3505708
"Barueri";"2019";"0,96";"";"";"";3505708
"Bastos";"1991";"";"";"";"2,01";3505807
"Bastos";"2000";"";"";"0,85";"";3505807
"Bastos";"2010";"";"-0,06";"";"";3505807
"Bastos";"2019";"-0,08";"";"";"";3505807
"Batatais";"1991";"";"";"";"1,53";3505906
"Batatais";"2000";"";"";"1,68";"";3505906
"Batatais";"2010";"";"1,01";"";"";3505906
"Batatais";"2019";"0,66";"";"";"";3505906
"Bauru";"1991";"";"";"";"3,09";3506003
"Bauru";"2000";"";"";"2,19";"";3506003
"Bauru";"2010";"";"0,86";"";"";3506003
"Bauru";"2019";"0,59";"";"";"";3506003
"Bebedouro";"1991";"";"";"";"3,58";3506102
"Bebedouro";"2000";"";"";"1,16";"";3506102
"Bebedouro";"2010";"";"0,04";"";"";3506102
"Bebedouro";"2019";"-0,11";"";"";"";3506102
"Bento de Abreu";"1991";"";"";"";"1,46";3506201
"Bento de Abreu";"2000";"";"";"0,03";"";3506201
"Bento de Abreu";"2010";"";"1,1";"";"";3506201
"Bento de Abreu";"2019";"0,99";"";"";"";3506201
"Bernardino de Campos";"1991";"";"";"";"1,01";3506300
"Bernardino de Campos";"2000";"";"";"0,74";"";3506300
