"Localidades";"Períodos";"Matrículas na Educação Infantil ";"Matrículas na Educação Infantil - Rede Municipal ";"Matrículas na Educação Infantil - Rede Particular ";"Matrículas no Ensino Fundamental ";"Matrículas no Ensino Fundamental - Rede Estadual ";"Matrículas no Ensino Fundamental - Rede Municipal ";"Matrículas no Ensino Fundamental - Rede Privada ";"Matrículas no Ensino Médio ";"Matrículas no Ensino Médio - Rede Estadual ";"Matrículas no Ensino Médio - Rede Municipal ";"Matrículas no Ensino Médio - Rede Particular ";"Matrículas na Educação Especial ";"Matrículas na Educação Especial - Rede Estadual ";"Matrículas na Educação Especial - Rede Municipal ";"Matrículas na Educação Especial - Rede Particular ";"Cód. IBGE"
"Adamantina";"2014";"1359";"1001";"358";"3540";"1211";"1480";"849";"1575";"1343";"-";"232";"65";"-";"-";"65";3500105
"Adamantina";"2015";"1320";"920";"400";"3492";"1138";"1389";"965";"1569";"1342";"-";"227";"157";"52";"38";"67";3500105
"Adamantina";"2016";"1372";"1010";"362";"3619";"1184";"1384";"1051";"1512";"1270";"-";"242";"169";"64";"36";"69";3500105
"Adamantina";"2017";"1356";"998";"358";"3588";"1119";"1360";"1109";"1407";"1178";"-";"229";"168";"71";"33";"64";3500105
"Adamantina";"2018";"1402";"1072";"330";"3686";"1130";"1325";"1231";"1358";"1122";"";"236";"185";"75";"40";"70";3500105
"Adolfo";"2014";"119";"41";"78";"487";"-";"487";"-";"176";"176";"-";"-";"-";"-";"-";"-";3500204
"Adolfo";"2015";"106";"24";"82";"447";"-";"447";"-";"159";"159";"-";"-";"8";"1";"6";"1";3500204
"Adolfo";"2016";"175";"50";"125";"434";"-";"434";"-";"166";"166";"-";"-";"7";"1";"6";"-";3500204
"Adolfo";"2017";"192";"43";"149";"455";"-";"455";"-";"147";"147";"-";"-";"7";"-";"6";"1";3500204
"Adolfo";"2018";"217";"123";"94";"472";"";"472";"";"133";"133";"";"";"12";"1";"11";"-";3500204
"Aguaí";"2014";"1334";"1182";"152";"4330";"1572";"2429";"329";"1107";"1068";"-";"39";"164";"-";"34";"130";3500303
"Aguaí";"2015";"1307";"1154";"153";"4405";"1500";"2447";"458";"1064";"1021";"-";"43";"273";"54";"122";"97";3500303
"Aguaí";"2016";"1334";"1180";"154";"4353";"1517";"2406";"430";"1085";"1036";"-";"49";"247";"46";"121";"80";3500303
"Aguaí";"2017";"1343";"1193";"150";"4236";"1376";"2437";"423";"1073";"1027";"-";"46";"250";"49";"122";"79";3500303
"Aguaí";"2018";"1500";"1335";"165";"4177";"1354";"2441";"382";"1052";"1012";"";"40";"233";"52";"124";"57";3500303
"Águas da Prata";"2014";"192";"192";"-";"706";"323";"383";"-";"138";"138";"-";"-";"-";"-";"-";"-";3500402
"Águas da Prata";"2015";"238";"238";"-";"671";"272";"399";"-";"129";"129";"-";"-";"38";"21";"17";"-";3500402
"Águas da Prata";"2016";"218";"218";"-";"663";"269";"394";"-";"150";"150";"-";"-";"51";"24";"27";"-";3500402
"Águas da Prata";"2017";"241";"241";"-";"658";"251";"407";"-";"175";"175";"-";"-";"46";"24";"22";"-";3500402
"Águas da Prata";"2018";"259";"259";"";"633";"249";"384";"";"161";"161";"";"";"43";"20";"23";"";3500402
"Águas de Lindóia";"2014";"874";"770";"104";"2218";"450";"1617";"151";"526";"468";"-";"58";"42";"-";"-";"42";3500501
"Águas de Lindóia";"2015";"902";"788";"114";"2055";"416";"1484";"155";"540";"477";"-";"63";"77";"7";"30";"40";3500501
"Águas de Lindóia";"2016";"1018";"894";"124";"2031";"396";"1465";"170";"569";"510";"-";"59";"88";"9";"38";"41";3500501
"Águas de Lindóia";"2017";"986";"881";"105";"2026";"387";"1473";"166";"579";"530";"-";"49";"86";"9";"39";"38";3500501
"Águas de Lindóia";"2018";"1050";"943";"107";"2012";"339";"1513";"160";"498";"459";"";"39";"90";"12";"44";"34";3500501
"Águas de Santa Bárbara";"2014";"288";"288";"-";"758";"339";"419";"-";"241";"241";"-";"-";"-";"-";"-";"-";3500550
"Águas de Santa Bárbara";"2015";"508";"508";"-";"759";"348";"411";"-";"238";"238";"-";"-";"17";"9";"8";"-";3500550
"Águas de Santa Bárbara";"2016";"506";"506";"-";"761";"346";"415";"-";"235";"235";"-";"-";"13";"9";"4";"-";3500550
"Águas de Santa Bárbara";"2017";"279";"279";"-";"767";"339";"428";"-";"195";"195";"-";"-";"18";"10";"8";"-";3500550
"Águas de Santa Bárbara";"2018";"315";"315";"";"783";"339";"444";"";"198";"198";"";"";"16";"8";"8";"";3500550
"Águas de São Pedro";"2014";"175";"175";"-";"425";"-";"425";"-";"175";"175";"-";"-";"-";"-";"-";"-";3500600
"Águas de São Pedro";"2015";"177";"177";"-";"436";"-";"436";"-";"142";"142";"-";"-";"6";"-";"6";"-";3500600
"Águas de São Pedro";"2016";"163";"163";"-";"442";"-";"442";"-";"155";"155";"-";"-";"11";"4";"7";"-";3500600
"Águas de São Pedro";"2017";"177";"177";"-";"431";"-";"431";"-";"150";"150";"-";"-";"14";"5";"9";"-";3500600
"Águas de São Pedro";"2018";"157";"157";"";"477";"";"477";"";"119";"119";"";"";"15";"2";"13";"";3500600
"Agudos";"2014";"1897";"1761";"136";"4809";"1881";"2183";"745";"1605";"1386";"-";"219";"9";"-";"-";"9";3500709
"Agudos";"2015";"1997";"1860";"137";"4746";"1741";"2200";"805";"1528";"1298";"-";"230";"117";"55";"46";"16";3500709
"Agudos";"2016";"2060";"1863";"197";"4707";"1648";"2267";"792";"1563";"1336";"-";"227";"158";"80";"68";"10";3500709
"Agudos";"2017";"1982";"1794";"188";"4696";"1548";"2360";"788";"1540";"1321";"-";"219";"153";"85";"61";"7";3500709
"Agudos";"2018";"2058";"1846";"212";"4765";"1597";"2361";"807";"1412";"1212";"";"200";"167";"83";"77";"7";3500709
"Alambari";"2014";"255";"255";"-";"749";"355";"394";"-";"270";"270";"-";"-";"-";"-";"-";"-";3500758
"Alambari";"2015";"272";"272";"-";"753";"343";"410";"-";"250";"250";"-";"-";"11";"2";"9";"-";3500758
"Alambari";"2016";"275";"275";"-";"790";"374";"416";"-";"273";"273";"-";"-";"10";"2";"8";"-";3500758
"Alambari";"2017";"283";"283";"-";"772";"348";"424";"-";"286";"286";"-";"-";"13";"2";"11";"-";3500758
"Alambari";"2018";"248";"248";"";"748";"326";"422";"";"275";"275";"";"";"12";"5";"7";"";3500758
"Alfredo Marcondes";"2014";"147";"147";"-";"411";"411";"-";"-";"146";"146";"-";"-";"-";"-";"-";"-";3500808
"Alfredo Marcondes";"2015";"129";"129";"-";"402";"402";"-";"-";"121";"121";"-";"-";"16";"16";"-";"-";3500808
"Alfredo Marcondes";"2016";"190";"190";"-";"395";"395";"-";"-";"137";"137";"-";"-";"18";"17";"1";"-";3500808
"Alfredo Marcondes";"2017";"200";"200";"-";"386";"386";"-";"-";"138";"138";"-";"-";"15";"14";"1";"-";3500808
"Alfredo Marcondes";"2018";"206";"206";"";"381";"381";"";"";"144";"144";"";"";"14";"13";"1";"";3500808
"Altair";"2014";"170";"170";"-";"450";"217";"233";"-";"155";"155";"-";"-";"-";"-";"-";"-";3500907
"Altair";"2015";"139";"139";"-";"446";"190";"256";"-";"166";"166";"-";"-";"18";"5";"13";"-";3500907
"Altair";"2016";"179";"179";"-";"452";"202";"250";"-";"153";"153";"-";"-";"20";"6";"14";"-";3500907
"Altair";"2017";"194";"194";"-";"468";"198";"270";"-";"128";"128";"-";"-";"19";"8";"11";"-";3500907
"Altair";"2018";"206";"206";"";"435";"185";"250";"";"116";"116";"";"";"12";"7";"5";"";3500907
"Altinópolis";"2014";"646";"570";"76";"1937";"288";"1420";"229";"649";"565";"-";"84";"104";"-";"-";"104";3501004
"Altinópolis";"2015";"675";"591";"84";"1919";"277";"1346";"296";"641";"576";"-";"65";"123";"14";"29";"80";3501004
"Altinópolis";"2016";"705";"623";"82";"1882";"313";"1262";"307";"599";"535";"-";"64";"115";"3";"29";"83";3501004
"Altinópolis";"2017";"720";"659";"61";"1947";"358";"1222";"367";"561";"484";"-";"77";"149";"12";"30";"107";3501004
"Altinópolis";"2018";"774";"702";"72";"1904";"357";"1204";"343";"562";"477";"";"85";"130";"12";"48";"70";3501004
"Alto Alegre";"2014";"144";"99";"45";"390";"180";"210";"-";"135";"135";"-";"-";"-";"-";"-";"-";3501103
"Alto Alegre";"2015";"141";"94";"47";"379";"163";"216";"-";"129";"129";"-";"-";"26";"20";"6";"-";3501103
"Alto Alegre";"2016";"134";"83";"51";"381";"160";"221";"-";"142";"142";"-";"-";"25";"18";"7";"-";3501103
"Alto Alegre";"2017";"133";"81";"52";"387";"161";"226";"-";"144";"144";"-";"-";"30";"25";"5";"-";3501103
"Alto Alegre";"2018";"179";"179";"-";"378";"152";"226";"";"108";"108";"";"";"34";"25";"9";"";3501103
"Alumínio";"2014";"823";"823";"-";"2900";"-";"2329";"571";"836";"741";"-";"95";"-";"-";"-";"-";3501152
"Alumínio";"2015";"854";"854";"-";"2871";"-";"2302";"569";"741";"645";"-";"96";"68";"6";"58";"4";3501152
"Alumínio";"2016";"816";"816";"-";"2774";"-";"2204";"570";"770";"678";"-";"92";"84";"5";"78";"1";3501152
"Alumínio";"2017";"829";"829";"-";"2711";"-";"2140";"571";"677";"583";"-";"94";"83";"8";"74";"1";3501152
"Alumínio";"2018";"869";"869";"";"2642";"";"2069";"573";"678";"551";"";"127";"99";"12";"86";"1";3501152
"Álvares Florence";"2014";"132";"132";"-";"357";"97";"260";"-";"141";"141";"-";"-";"-";"-";"-";"-";3501202
"Álvares Florence";"2015";"142";"142";"-";"352";"93";"259";"-";"128";"128";"-";"-";"4";"2";"2";"-";3501202
"Álvares Florence";"2016";"154";"154";"-";"332";"103";"229";"-";"114";"114";"-";"-";"4";"2";"2";"-";3501202
"Álvares Florence";"2017";"173";"173";"-";"340";"106";"234";"-";"103";"103";"-";"-";"4";"3";"1";"-";3501202
"Álvares Florence";"2018";"173";"173";"";"336";"87";"249";"";"109";"109";"";"";"5";"4";"1";"";3501202
"Álvares Machado";"2014";"919";"585";"334";"3240";"-";"2567";"673";"970";"799";"-";"171";"9";"-";"9";"-";3501301
"Álvares Machado";"2015";"937";"590";"347";"3243";"-";"2504";"739";"922";"731";"-";"191";"66";"5";"53";"8";3501301
"Álvares Machado";"2016";"993";"656";"337";"3230";"-";"2477";"753";"873";"674";"-";"199";"64";"7";"52";"5";3501301
"Álvares Machado";"2017";"1043";"714";"329";"3282";"-";"2487";"795";"852";"642";"-";"210";"71";"6";"58";"7";3501301
"Álvares Machado";"2018";"1147";"811";"336";"3268";"";"2437";"831";"828";"615";"";"213";"81";"15";"61";"5";3501301
"Álvaro de Carvalho";"2014";"178";"106";"72";"466";"202";"264";"-";"165";"165";"-";"-";"-";"-";"-";"-";3501400
"Álvaro de Carvalho";"2015";"175";"105";"70";"449";"174";"275";"-";"134";"134";"-";"-";"10";"7";"3";"-";3501400
"Álvaro de Carvalho";"2016";"169";"98";"71";"450";"171";"279";"-";"138";"138";"-";"-";"12";"6";"6";"-";3501400
"Álvaro de Carvalho";"2017";"171";"98";"73";"448";"173";"275";"-";"120";"120";"-";"-";"10";"6";"4";"-";3501400
"Álvaro de Carvalho";"2018";"175";"88";"87";"444";"177";"267";"";"115";"115";"";"";"12";"6";"6";"";3501400
"Alvinlândia";"2014";"225";"225";"-";"476";"231";"245";"-";"123";"123";"-";"-";"-";"-";"-";"-";3501509
"Alvinlândia";"2015";"227";"227";"-";"441";"200";"241";"-";"129";"129";"-";"-";"16";"9";"7";"-";3501509
"Alvinlândia";"2016";"211";"211";"-";"440";"173";"267";"-";"136";"136";"-";"-";"20";"9";"11";"-";3501509
"Alvinlândia";"2017";"206";"206";"-";"438";"189";"249";"-";"106";"106";"-";"-";"21";"9";"12";"-";3501509
"Alvinlândia";"2018";"204";"204";"";"433";"196";"237";"";"102";"102";"";"";"34";"16";"18";"";3501509
"Americana";"2014";"10564";"6715";"3849";"25764";"11551";"6911";"7302";"10171";"7668";"-";"2503";"161";"-";"25";"136";3501608
"Americana";"2015";"10671";"6626";"4045";"25727";"11174";"6733";"7820";"10022";"7617";"-";"2405";"993";"507";"263";"223";3501608
"Americana";"2016";"10614";"6492";"4122";"25527";"10931";"6677";"7919";"9691";"7339";"-";"2352";"939";"493";"235";"211";3501608
"Americana";"2017";"10709";"6439";"4270";"25285";"10546";"6729";"8010";"9396";"7131";"-";"2265";"914";"476";"234";"204";3501608
"Americana";"2018";"10688";"6235";"4453";"25748";"10891";"6704";"8153";"8639";"6499";"";"2140";"954";"481";"252";"221";3501608
"Américo Brasiliense";"2014";"2059";"1986";"73";"4601";"1025";"3295";"281";"1665";"1608";"-";"57";"-";"-";"-";"-";3501707
"Américo Brasiliense";"2015";"2206";"2141";"65";"4408";"938";"3194";"276";"1547";"1475";"-";"72";"91";"26";"53";"12";3501707
"Américo Brasiliense";"2016";"2160";"2087";"73";"4264";"865";"3131";"268";"1561";"1499";"-";"62";"102";"36";"54";"12";3501707
"Américo Brasiliense";"2017";"2135";"2060";"75";"4194";"766";"3138";"290";"1370";"1300";"-";"70";"93";"33";"50";"10";3501707
"Américo Brasiliense";"2018";"2145";"2056";"89";"4250";"734";"3248";"268";"1155";"1088";"";"67";"107";"33";"63";"11";3501707
"Américo de Campos";"2014";"210";"210";"-";"666";"117";"549";"-";"268";"229";"39";"-";"-";"-";"-";"-";3501806
"Américo de Campos";"2015";"238";"238";"-";"651";"125";"526";"-";"273";"246";"27";"-";"19";"9";"10";"-";3501806
"Américo de Campos";"2016";"227";"227";"-";"675";"103";"572";"-";"279";"178";"101";"-";"25";"10";"15";"-";3501806
"Américo de Campos";"2017";"257";"257";"-";"669";"96";"573";"-";"258";"123";"135";"-";"28";"14";"14";"-";3501806
"Américo de Campos";"2018";"240";"240";"";"689";"103";"586";"";"213";"96";"117";"";"31";"13";"18";"";3501806
"Amparo";"2014";"2815";"2261";"554";"7779";"3789";"2391";"1599";"2884";"2373";"-";"511";"169";"-";"-";"169";3501905
"Amparo";"2015";"2857";"2270";"587";"7650";"3564";"2326";"1760";"2871";"2346";"-";"525";"315";"72";"44";"199";3501905
"Amparo";"2016";"2959";"2348";"611";"7702";"3672";"2226";"1804";"2947";"2447";"-";"500";"326";"72";"49";"205";3501905
"Amparo";"2017";"2970";"2428";"542";"7624";"3610";"2260";"1754";"2853";"2407";"-";"446";"311";"82";"56";"173";3501905
"Amparo";"2018";"3251";"2593";"658";"7791";"3804";"2212";"1775";"2611";"2167";"";"444";"332";"93";"73";"166";3501905
"Analândia";"2014";"202";"202";"-";"563";"-";"563";"-";"130";"130";"-";"-";"-";"-";"-";"-";3502002
"Analândia";"2015";"192";"192";"-";"522";"-";"522";"-";"148";"148";"-";"-";"1";"1";"-";"-";3502002
"Analândia";"2016";"226";"226";"-";"516";"-";"516";"-";"145";"145";"-";"-";"5";"-";"5";"-";3502002
"Analândia";"2017";"196";"196";"-";"474";"-";"474";"-";"145";"145";"-";"-";"4";"1";"3";"-";3502002
"Analândia";"2018";"205";"205";"";"496";"";"496";"";"109";"109";"";"";"6";"-";"6";"";3502002
"Andradina";"2014";"2272";"1686";"586";"6214";"2228";"2611";"1375";"2386";"1966";"-";"420";"239";"-";"-";"239";3502101
"Andradina";"2015";"2370";"1752";"618";"6250";"2074";"2575";"1601";"2285";"1861";"-";"424";"483";"106";"107";"270";3502101
"Andradina";"2016";"2428";"1848";"580";"6286";"2032";"2658";"1596";"2296";"1879";"-";"417";"471";"104";"112";"255";3502101
"Andradina";"2017";"2551";"1965";"586";"6222";"1880";"2763";"1579";"2231";"1817";"-";"414";"494";"121";"128";"245";3502101
"Andradina";"2018";"2550";"1967";"583";"6405";"1991";"2819";"1595";"1975";"1551";"";"424";"540";"115";"170";"255";3502101
"Angatuba";"2014";"943";"911";"32";"3096";"610";"2427";"59";"862";"832";"-";"30";"96";"-";"-";"96";3502200
"Angatuba";"2015";"1054";"1015";"39";"3116";"487";"2494";"135";"756";"730";"-";"26";"188";"29";"66";"93";3502200
"Angatuba";"2016";"1086";"1046";"40";"3091";"442";"2492";"157";"849";"823";"-";"26";"191";"27";"75";"89";3502200
"Angatuba";"2017";"1093";"1051";"42";"3037";"396";"2473";"168";"832";"798";"-";"34";"204";"36";"74";"94";3502200
"Angatuba";"2018";"1113";"1071";"42";"3030";"419";"2437";"174";"761";"729";"";"32";"208";"39";"69";"100";3502200
"Anhembi";"2014";"296";"296";"-";"921";"-";"921";"-";"295";"295";"-";"-";"-";"-";"-";"-";3502309
"Anhembi";"2015";"323";"323";"-";"862";"-";"862";"-";"266";"266";"-";"-";"18";"4";"14";"-";3502309
"Anhembi";"2016";"336";"336";"-";"862";"-";"862";"-";"277";"277";"-";"-";"15";"9";"6";"-";3502309
"Anhembi";"2017";"322";"322";"-";"873";"-";"873";"-";"230";"230";"-";"-";"14";"7";"7";"-";3502309
"Anhembi";"2018";"311";"311";"";"891";"";"891";"";"195";"195";"";"";"11";"4";"7";"";3502309
"Anhumas";"2014";"201";"201";"-";"481";"254";"227";"-";"142";"142";"-";"-";"-";"-";"-";"-";3502408
"Anhumas";"2015";"200";"200";"-";"443";"206";"237";"-";"132";"132";"-";"-";"9";"4";"5";"-";3502408
"Anhumas";"2016";"215";"215";"-";"437";"200";"237";"-";"126";"126";"-";"-";"7";"2";"5";"-";3502408
"Anhumas";"2017";"227";"227";"-";"422";"188";"234";"-";"133";"133";"-";"-";"5";"2";"3";"-";3502408
"Anhumas";"2018";"233";"233";"";"430";"175";"255";"";"129";"129";"";"";"7";"2";"5";"";3502408
"Aparecida";"2014";"1661";"1432";"229";"4810";"-";"4396";"414";"1514";"1477";"-";"37";"160";"-";"-";"160";3502507
"Aparecida";"2015";"1670";"1451";"219";"4849";"-";"4274";"575";"1396";"1363";"-";"33";"322";"12";"158";"152";3502507
"Aparecida";"2016";"1641";"1413";"228";"4753";"-";"4132";"621";"1564";"1506";"-";"58";"244";"10";"81";"153";3502507
"Aparecida";"2017";"1672";"1464";"208";"4668";"-";"4041";"627";"1463";"1409";"-";"54";"251";"13";"89";"149";3502507
"Aparecida";"2018";"1719";"1445";"274";"4596";"";"3938";"658";"1351";"1314";"";"37";"263";"24";"102";"137";3502507
"Aparecida d'Oeste";"2014";"165";"165";"-";"478";"228";"250";"-";"174";"174";"-";"-";"-";"-";"-";"-";3502606
"Aparecida d'Oeste";"2015";"176";"176";"-";"439";"199";"240";"-";"171";"171";"-";"-";"5";"4";"1";"-";3502606
"Aparecida d'Oeste";"2016";"185";"185";"-";"431";"189";"242";"-";"171";"171";"-";"-";"13";"13";"-";"-";3502606
"Aparecida d'Oeste";"2017";"197";"197";"-";"428";"188";"240";"-";"146";"146";"-";"-";"9";"9";"-";"-";3502606
"Aparecida d'Oeste";"2018";"198";"198";"";"416";"179";"237";"";"141";"141";"";"";"7";"6";"1";"";3502606
"Apiaí";"2014";"1030";"995";"35";"3744";"2611";"1019";"114";"1484";"1421";"-";"63";"108";"-";"108";"-";3502705
"Apiaí";"2015";"1040";"1004";"36";"3700";"2404";"1177";"119";"1394";"1322";"-";"72";"205";"73";"130";"2";3502705
"Apiaí";"2016";"1147";"1122";"25";"3654";"2384";"1126";"144";"1370";"1316";"-";"54";"201";"77";"122";"2";3502705
"Apiaí";"2017";"1231";"1202";"29";"3598";"2302";"1165";"131";"1239";"1197";"-";"42";"214";"75";"139";"-";3502705
"Apiaí";"2018";"1168";"1137";"31";"3506";"2243";"1117";"146";"1192";"1158";"";"34";"180";"78";"101";"1";3502705
"Aramina";"2014";"207";"207";"-";"657";"329";"328";"-";"188";"188";"-";"-";"-";"-";"-";"-";3503000
"Aramina";"2015";"228";"228";"-";"652";"326";"326";"-";"184";"184";"-";"-";"8";"6";"2";"-";3503000
"Aramina";"2016";"259";"259";"-";"649";"322";"327";"-";"173";"173";"-";"-";"7";"5";"2";"-";3503000
"Aramina";"2017";"268";"268";"-";"641";"294";"347";"-";"162";"162";"-";"-";"3";"3";"-";"-";3503000
"Aramina";"2018";"276";"276";"";"646";"311";"335";"";"157";"157";"";"";"3";"3";"-";"";3503000
"Arandu";"2014";"240";"216";"24";"816";"360";"456";"-";"257";"257";"-";"-";"-";"-";"-";"-";3503109
"Arandu";"2015";"261";"221";"40";"811";"365";"446";"-";"230";"230";"-";"-";"16";"7";"9";"-";3503109
"Arandu";"2016";"249";"212";"37";"806";"372";"434";"-";"220";"220";"-";"-";"16";"9";"7";"-";3503109
"Arandu";"2017";"256";"222";"34";"805";"373";"432";"-";"185";"185";"-";"-";"18";"10";"8";"-";3503109
"Arandu";"2018";"252";"225";"27";"753";"334";"419";"";"203";"203";"";"";"18";"8";"10";"";3503109
"Arapeí";"2014";"79";"79";"-";"354";"-";"354";"-";"139";"139";"-";"-";"-";"-";"-";"-";3503158
"Arapeí";"2015";"98";"98";"-";"350";"-";"350";"-";"131";"131";"-";"-";"2";"-";"2";"-";3503158
"Arapeí";"2016";"87";"87";"-";"353";"-";"353";"-";"118";"118";"-";"-";"1";"1";"-";"-";3503158
"Arapeí";"2017";"73";"73";"-";"364";"-";"364";"-";"114";"114";"-";"-";"3";"2";"1";"-";3503158
"Arapeí";"2018";"78";"78";"";"351";"";"351";"";"89";"89";"";"";"23";"1";"22";"";3503158
"Araraquara";"2014";"11625";"9755";"1816";"24055";"10802";"7325";"5928";"9220";"7124";"-";"2096";"355";"-";"-";"355";3503208
"Araraquara";"2015";"11616";"9630";"1942";"24206";"10763";"7159";"6284";"8613";"6630";"-";"1983";"1080";"288";"386";"405";3503208
"Araraquara";"2016";"11836";"9820";"1978";"24433";"10898";"7134";"6401";"8893";"6959";"-";"1854";"1173";"378";"398";"396";3503208
"Araraquara";"2017";"12225";"10170";"2023";"24596";"11106";"7306";"6184";"8309";"6348";"-";"1808";"1034";"382";"406";"242";3503208
"Araraquara";"2018";"12491";"10361";"2099";"25041";"11327";"7361";"6353";"7859";"5950";"";"1698";"1084";"403";"414";"261";3503208
"Araras";"2014";"7226";"5606";"1620";"14221";"6237";"5647";"2337";"4787";"4027";"-";"760";"277";"-";"7";"270";3503307
"Araras";"2015";"6179";"4640";"1539";"14010";"5970";"5481";"2559";"4503";"3818";"-";"685";"554";"118";"229";"207";3503307
"Araras";"2016";"8861";"7464";"1397";"14258";"6084";"5537";"2637";"4635";"4031";"-";"604";"627";"144";"297";"186";3503307
"Araras";"2017";"8811";"7627";"1184";"14261";"5965";"5610";"2686";"4411";"3855";"-";"556";"649";"165";"308";"176";3503307
"Araras";"2018";"8945";"7727";"1218";"14468";"6089";"5591";"2788";"4185";"3642";"";"543";"650";"180";"295";"175";3503307
"Araçariguama";"2014";"957";"899";"58";"3163";"-";"3029";"134";"793";"793";"-";"-";"-";"-";"-";"-";3502754
"Araçariguama";"2015";"1007";"939";"68";"3157";"-";"2941";"216";"770";"770";"-";"-";"64";"11";"53";"-";3502754
"Araçariguama";"2016";"1006";"921";"85";"3227";"-";"2914";"313";"822";"822";"-";"-";"77";"11";"66";"-";3502754
"Araçariguama";"2017";"1041";"958";"83";"3201";"-";"2825";"376";"842";"842";"-";"-";"73";"9";"64";"-";3502754
"Araçariguama";"2018";"1174";"1087";"87";"3315";"";"2885";"430";"781";"781";"";"";"71";"7";"64";"";3502754
"Araçatuba";"2014";"8488";"6350";"2105";"20635";"7469";"7435";"5731";"7866";"5922";"-";"1944";"332";"-";"-";"332";3502804
"Araçatuba";"2015";"8853";"6619";"2200";"20487";"6447";"8034";"6006";"7452";"5603";"-";"1849";"894";"283";"249";"362";3502804
"Araçatuba";"2016";"9178";"6896";"2257";"20259";"6148";"8157";"5954";"7980";"6317";"-";"1663";"890";"278";"254";"358";3502804
"Araçatuba";"2017";"9355";"7031";"2297";"20549";"6157";"8307";"6085";"7241";"5655";"-";"1586";"929";"318";"275";"336";3502804
"Araçatuba";"2018";"11885";"9527";"2332";"20758";"6132";"8464";"6162";"6761";"5292";"";"1469";"974";"328";"318";"328";3502804
"Araçoiaba da Serra";"2014";"1365";"1244";"121";"3969";"-";"3766";"203";"1277";"1230";"-";"47";"48";"-";"-";"48";3502903
"Araçoiaba da Serra";"2015";"1445";"1355";"90";"3928";"-";"3660";"268";"1282";"1226";"-";"56";"98";"11";"36";"51";3502903
"Araçoiaba da Serra";"2016";"1374";"1295";"79";"3984";"-";"3707";"277";"1224";"1178";"-";"46";"90";"5";"37";"48";3502903
"Araçoiaba da Serra";"2017";"1376";"1306";"70";"3999";"-";"3726";"273";"1197";"1155";"-";"42";"120";"10";"68";"42";3502903
"Araçoiaba da Serra";"2018";"1463";"1383";"80";"3973";"";"3753";"220";"1008";"970";"";"38";"124";"6";"76";"42";3502903
"Arco-Íris";"2014";"75";"70";"-";"234";"132";"102";"-";"60";"60";"-";"-";"-";"-";"-";"-";3503356
"Arco-Íris";"2015";"77";"70";"-";"225";"122";"103";"-";"61";"61";"-";"-";"-";"-";"-";"-";3503356
"Arco-Íris";"2016";"92";"85";"-";"212";"107";"105";"-";"69";"69";"-";"-";"1";"1";"-";"-";3503356
"Arco-Íris";"2017";"115";"104";"-";"217";"121";"96";"-";"72";"72";"-";"-";"2";"1";"1";"-";3503356
"Arco-Íris";"2018";"101";"87";"";"230";"123";"107";"";"68";"68";"";"";"4";"1";"3";"";3503356
"Arealva";"2014";"275";"275";"-";"1002";"460";"542";"-";"275";"275";"-";"-";"10";"-";"-";"10";3503406
"Arealva";"2015";"291";"291";"-";"957";"437";"509";"11";"276";"276";"-";"-";"38";"18";"9";"11";3503406
"Arealva";"2016";"293";"293";"-";"939";"431";"498";"10";"257";"257";"-";"-";"40";"18";"12";"10";3503406
"Arealva";"2017";"290";"290";"-";"882";"392";"483";"7";"258";"258";"-";"-";"34";"19";"8";"7";3503406
"Arealva";"2018";"326";"326";"";"877";"389";"482";"6";"246";"246";"";"";"37";"20";"11";"6";3503406
"Areias";"2014";"132";"132";"-";"569";"-";"569";"-";"169";"169";"-";"-";"-";"-";"-";"-";3503505
"Areias";"2015";"138";"138";"-";"529";"-";"529";"-";"166";"166";"-";"-";"6";"1";"5";"-";3503505
"Areias";"2016";"139";"139";"-";"506";"-";"506";"-";"162";"162";"-";"-";"7";"-";"7";"-";3503505
"Areias";"2017";"146";"146";"-";"518";"-";"518";"-";"144";"144";"-";"-";"7";"-";"7";"-";3503505
"Areias";"2018";"138";"138";"";"466";"";"466";"";"161";"161";"";"";"6";"-";"6";"";3503505
"Areiópolis";"2014";"437";"437";"-";"1627";"-";"1627";"-";"403";"403";"-";"-";"26";"-";"-";"26";3503604
"Areiópolis";"2015";"429";"429";"-";"1605";"-";"1578";"27";"329";"329";"-";"-";"44";"7";"10";"27";3503604
"Areiópolis";"2016";"403";"403";"-";"1572";"-";"1546";"26";"327";"327";"-";"-";"40";"6";"8";"26";3503604
"Areiópolis";"2017";"409";"409";"-";"1484";"-";"1459";"25";"331";"331";"-";"-";"37";"2";"10";"25";3503604
"Areiópolis";"2018";"433";"433";"";"1430";"";"1404";"26";"333";"333";"";"";"52";"3";"23";"26";3503604
"Ariranha";"2014";"412";"412";"-";"981";"426";"555";"-";"287";"287";"-";"-";"-";"-";"-";"-";3503703
"Ariranha";"2015";"385";"385";"-";"911";"400";"511";"-";"302";"302";"-";"-";"28";"20";"8";"-";3503703
"Ariranha";"2016";"386";"386";"-";"932";"375";"557";"-";"299";"299";"-";"-";"35";"21";"14";"-";3503703
"Ariranha";"2017";"397";"397";"-";"916";"395";"521";"-";"271";"271";"-";"-";"46";"23";"23";"-";3503703
"Ariranha";"2018";"370";"370";"";"870";"390";"480";"";"248";"248";"";"";"50";"26";"24";"";3503703
"Artur Nogueira";"2014";"2526";"2206";"320";"6313";"2573";"2981";"759";"1847";"1705";"-";"142";"108";"-";"-";"108";3503802
