"Localidades";"Períodos";"Matrículas na Educação Infantil ";"Matrículas na Educação Infantil - Rede Municipal ";"Matrículas na Educação Infantil - Rede Particular ";"Matrículas no Ensino Fundamental ";"Matrículas no Ensino Fundamental - Rede Estadual ";"Matrículas no Ensino Fundamental - Rede Municipal ";"Matrículas no Ensino Fundamental - Rede Privada ";"Matrículas no Ensino Médio ";"Matrículas no Ensino Médio - Rede Estadual ";"Matrículas no Ensino Médio - Rede Municipal ";"Matrículas no Ensino Médio - Rede Particular ";"Matrículas na Educação Especial ";"Matrículas na Educação Especial - Rede Estadual ";"Matrículas na Educação Especial - Rede Municipal ";"Matrículas na Educação Especial - Rede Particular ";"Cód. IBGE"
"Guarantã";"2017";"281";"259";"22";"795";"708";"87";"-";"206";"206";"-";"-";"12";"11";"1";"-";3518107
"Guarantã";"2018";"240";"222";"18";"829";"343";"486";"";"173";"173";"";"";"15";"6";"9";"";3518107
"Guararapes";"2014";"1576";"1372";"204";"3411";"1240";"1354";"817";"1195";"897";"-";"298";"62";"-";"-";"62";3518206
"Guararapes";"2015";"1606";"1403";"203";"3361";"1170";"1293";"898";"1184";"888";"-";"296";"158";"55";"39";"64";3518206
"Guararapes";"2016";"1561";"1390";"171";"3371";"1139";"1333";"899";"1141";"871";"-";"270";"151";"50";"43";"58";3518206
"Guararapes";"2017";"1627";"1441";"186";"3374";"1078";"1391";"905";"1125";"847";"-";"278";"144";"50";"43";"51";3518206
"Guararapes";"2018";"1647";"1444";"203";"3428";"1056";"1401";"971";"1067";"788";"";"279";"156";"54";"42";"60";3518206
"Guararema";"2014";"1434";"1346";"88";"4228";"2013";"1918";"297";"1406";"1376";"-";"30";"17";"-";"17";"-";3518305
"Guararema";"2015";"1420";"1363";"57";"4072";"1789";"2013";"270";"1471";"1427";"-";"44";"80";"34";"41";"5";3518305
"Guararema";"2016";"1465";"1419";"46";"4073";"1810";"2032";"231";"1465";"1412";"-";"53";"96";"43";"47";"6";3518305
"Guararema";"2017";"1512";"1479";"33";"4123";"1818";"2086";"219";"1446";"1403";"-";"43";"137";"46";"85";"6";3518305
"Guararema";"2018";"1618";"1586";"32";"4090";"1687";"2188";"215";"1295";"1255";"";"40";"120";"44";"70";"6";3518305
"Guaratinguetá";"2014";"4374";"2126";"2207";"14443";"3725";"7637";"3081";"5319";"4485";"-";"834";"323";"-";"-";"323";3518404
"Guaratinguetá";"2015";"4554";"2027";"2491";"14285";"3232";"7674";"3379";"4925";"4124";"-";"801";"811";"191";"343";"277";3518404
"Guaratinguetá";"2016";"4614";"2108";"2476";"14083";"2926";"7750";"3407";"5171";"4359";"-";"812";"885";"192";"413";"280";3518404
"Guaratinguetá";"2017";"4571";"2187";"2362";"13732";"2575";"7786";"3371";"5058";"4342";"-";"716";"948";"235";"429";"284";3518404
"Guaratinguetá";"2018";"4712";"2279";"2416";"13890";"2155";"8165";"3570";"4709";"4035";"";"674";"1003";"231";"467";"305";3518404
"Guaraçaí";"2014";"280";"225";"55";"784";"336";"413";"35";"268";"268";"-";"-";"-";"-";"-";"-";3517802
"Guaraçaí";"2015";"287";"236";"51";"775";"337";"389";"49";"258";"258";"-";"-";"4";"1";"3";"-";3517802
"Guaraçaí";"2016";"278";"211";"67";"781";"301";"419";"61";"254";"254";"-";"-";"6";"-";"6";"-";3517802
"Guaraçaí";"2017";"285";"209";"76";"794";"281";"442";"71";"240";"240";"-";"-";"7";"-";"7";"-";3517802
"Guaraçaí";"2018";"307";"220";"87";"812";"297";"433";"82";"207";"207";"";"";"8";"-";"8";"";3517802
"Guareí";"2014";"591";"591";"-";"1536";"737";"799";"-";"491";"491";"-";"-";"46";"-";"-";"46";3518503
"Guareí";"2015";"542";"540";"2";"1517";"621";"851";"45";"445";"445";"-";"-";"72";"13";"12";"47";3518503
"Guareí";"2016";"570";"568";"2";"1507";"620";"844";"43";"465";"465";"-";"-";"84";"8";"31";"45";3518503
"Guareí";"2017";"599";"595";"4";"1393";"566";"788";"39";"471";"471";"-";"-";"83";"12";"28";"43";3518503
"Guareí";"2018";"571";"567";"4";"1388";"577";"778";"33";"442";"442";"";"";"82";"24";"21";"37";3518503
"Guariba";"2014";"1683";"1549";"134";"5292";"-";"4859";"433";"1497";"1361";"-";"136";"-";"-";"-";"-";3518602
"Guariba";"2015";"1651";"1514";"137";"5143";"-";"4730";"413";"1505";"1394";"-";"111";"166";"13";"149";"4";3518602
"Guariba";"2016";"1627";"1485";"142";"5175";"-";"4774";"401";"1470";"1345";"-";"125";"171";"16";"149";"6";3518602
"Guariba";"2017";"1626";"1486";"140";"5096";"-";"4698";"398";"1430";"1311";"-";"119";"177";"32";"137";"8";3518602
"Guariba";"2018";"1628";"1496";"132";"5075";"";"4673";"402";"1340";"1225";"";"115";"178";"41";"129";"8";3518602
"Guarujá";"2014";"12792";"8155";"4637";"43748";"16992";"21202";"5554";"13877";"12849";"-";"1028";"250";"-";"71";"179";3518701
"Guarujá";"2015";"12843";"8026";"4817";"41558";"15398";"20334";"5826";"13737";"12563";"27";"1147";"1287";"321";"728";"238";3518701
"Guarujá";"2016";"13231";"8405";"4826";"41051";"14783";"20336";"5932";"14396";"13199";"14";"1183";"1402";"356";"794";"252";3518701
"Guarujá";"2017";"13400";"8535";"4865";"40998";"14749";"20419";"5830";"12359";"11273";"-";"1086";"1532";"394";"864";"274";3518701
"Guarujá";"2018";"14003";"8517";"5486";"41063";"15112";"20171";"5780";"11399";"10423";"-";"976";"1638";"420";"895";"323";3518701
"Guarulhos";"2014";"62129";"42692";"19437";"185340";"97719";"53300";"34321";"67452";"58860";"-";"8592";"1138";"112";"120";"906";3518800
"Guarulhos";"2015";"63830";"43111";"20719";"185089";"95240";"53467";"36382";"60381";"51784";"-";"8597";"4465";"1994";"1204";"1266";3518800
"Guarulhos";"2016";"63194";"43403";"19791";"183188";"93034";"54379";"35775";"59649";"51073";"-";"8576";"4231";"2058";"1350";"822";3518800
"Guarulhos";"2017";"65079";"44338";"20741";"180497";"91252";"54449";"34796";"55847";"47764";"-";"8003";"4887";"2323";"1468";"1096";3518800
"Guarulhos";"2018";"66617";"43774";"22843";"184220";"94272";"54943";"35005";"53500";"45796";"";"7556";"5609";"2459";"1993";"1155";3518800
"Guatapará";"2014";"385";"385";"-";"1074";"-";"1074";"-";"318";"318";"-";"-";"4";"-";"-";"4";3518859
"Guatapará";"2015";"352";"352";"-";"1065";"-";"1065";"-";"283";"283";"-";"-";"25";"-";"25";"-";3518859
"Guatapará";"2016";"391";"391";"-";"1063";"-";"1063";"-";"268";"268";"-";"-";"22";"2";"20";"-";3518859
"Guatapará";"2017";"395";"395";"-";"1029";"-";"1029";"-";"243";"243";"-";"-";"23";"-";"23";"-";3518859
"Guatapará";"2018";"382";"382";"";"1039";"";"1039";"";"253";"253";"";"";"22";"2";"20";"";3518859
"Guzolândia";"2014";"199";"199";"-";"547";"255";"292";"-";"202";"202";"-";"-";"-";"-";"-";"-";3518909
"Guzolândia";"2015";"169";"169";"-";"513";"239";"274";"-";"185";"185";"-";"-";"16";"4";"12";"-";3518909
"Guzolândia";"2016";"178";"178";"-";"547";"228";"319";"-";"180";"180";"-";"-";"16";"2";"14";"-";3518909
"Guzolândia";"2017";"192";"192";"-";"516";"226";"290";"-";"176";"176";"-";"-";"16";"2";"14";"-";3518909
"Guzolândia";"2018";"189";"189";"";"533";"208";"325";"";"158";"158";"";"";"27";"3";"24";"";3518909
"Herculândia";"2014";"271";"182";"89";"1067";"966";"101";"-";"320";"320";"-";"-";"-";"-";"-";"-";3519006
"Herculândia";"2015";"289";"193";"96";"1011";"911";"100";"-";"354";"354";"-";"-";"29";"29";"-";"-";3519006
"Herculândia";"2016";"297";"202";"95";"979";"884";"95";"-";"334";"334";"-";"-";"32";"32";"-";"-";3519006
"Herculândia";"2017";"335";"285";"50";"962";"856";"106";"-";"297";"297";"-";"-";"29";"29";"-";"-";3519006
"Herculândia";"2018";"335";"287";"48";"878";"782";"96";"";"273";"273";"";"";"27";"25";"2";"";3519006
"Holambra";"2014";"889";"681";"208";"1957";"-";"1527";"430";"644";"502";"-";"142";"14";"-";"14";"-";3519055
