"Localidades";"Períodos";"Índice de Desenvolvimento Humano Municipal - IDHM ";"Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ";"Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ";"Índice de Desenvolvimento Humano Municipal - IDHM Educação ";"Índice de Desenvolvimento Humano Municipal - IDHM Renda ";"Cód. IBGE"
"Campos do Jordão";"1991";"0,507";"276";"0,735";"0,26";"0,682";3509700
"Campos do Jordão";"2000";"0,653";"275";"0,762";"0,501";"0,728";3509700
"Campos do Jordão";"2010";"0,749";"236";"0,852";"0,648";"0,761";3509700
"Campos Novos Paulista";"1991";"0,411";"595";"0,714";"0,169";"0,576";3509809
"Campos Novos Paulista";"2000";"0,592";"566";"0,786";"0,422";"0,625";3509809
"Campos Novos Paulista";"2010";"0,706";"550";"0,824";"0,638";"0,67";3509809
"Cananéia";"1991";"0,45";"505";"0,727";"0,219";"0,571";3509908
"Cananéia";"2000";"0,625";"433";"0,807";"0,461";"0,657";3509908
"Cananéia";"2010";"0,72";"469";"0,851";"0,649";"0,677";3509908
"Canas";"1991";"0,406";"603";"0,68";"0,191";"0,514";3509957
"Canas";"2000";"0,577";"599";"0,723";"0,446";"0,595";3509957
"Canas";"2010";"0,704";"560";"0,797";"0,677";"0,646";3509957
"Cândido Mota";"1991";"0,519";"218";"0,72";"0,298";"0,651";3510005
"Cândido Mota";"2000";"0,656";"262";"0,798";"0,527";"0,671";3510005
"Cândido Mota";"2010";"0,747";"252";"0,845";"0,704";"0,701";3510005
"Cândido Rodrigues";"1991";"0,485";"370";"0,734";"0,255";"0,608";3510104
"Cândido Rodrigues";"2000";"0,629";"413";"0,785";"0,49";"0,647";3510104
"Cândido Rodrigues";"2010";"0,789";"38";"0,863";"0,762";"0,747";3510104
"Canitar";"1991";"0,37";"624";"0,702";"0,137";"0,526";3510153
"Canitar";"2000";"0,545";"629";"0,749";"0,371";"0,583";3510153
"Canitar";"2010";"0,68";"621";"0,791";"0,605";"0,658";3510153
"Capão Bonito";"1991";"0,428";"569";"0,667";"0,197";"0,596";3510203
"Capão Bonito";"2000";"0,579";"592";"0,749";"0,417";"0,62";3510203
"Capão Bonito";"2010";"0,721";"460";"0,826";"0,671";"0,675";3510203
"Capela do Alto";"1991";"0,433";"560";"0,715";"0,185";"0,614";3510302
"Capela do Alto";"2000";"0,573";"607";"0,761";"0,398";"0,622";3510302
"Capela do Alto";"2010";"0,699";"584";"0,823";"0,617";"0,673";3510302
"Capivari";"1991";"0,565";"73";"0,762";"0,336";"0,705";3510401
"Capivari";"2000";"0,655";"264";"0,8";"0,5";"0,702";3510401
"Capivari";"2010";"0,75";"232";"0,848";"0,669";"0,744";3510401
"Caraguatatuba";"1991";"0,519";"218";"0,708";"0,293";"0,673";3510500
"Caraguatatuba";"2000";"0,685";"132";"0,81";"0,56";"0,709";3510500
"Caraguatatuba";"2010";"0,759";"169";"0,845";"0,705";"0,735";3510500
"Carapicuíba";"1991";"0,519";"218";"0,747";"0,276";"0,678";3510609
"Carapicuíba";"2000";"0,644";"318";"0,769";"0,508";"0,684";3510609
"Carapicuíba";"2010";"0,749";"236";"0,842";"0,693";"0,721";3510609
"Cardoso";"1991";"0,504";"290";"0,699";"0,291";"0,629";3510708
"Cardoso";"2000";"0,656";"262";"0,782";"0,546";"0,66";3510708
"Cardoso";"2010";"0,722";"452";"0,853";"0,636";"0,695";3510708
"Casa Branca";"1991";"0,56";"86";"0,733";"0,353";"0,678";3510807
"Casa Branca";"2000";"0,699";"83";"0,823";"0,581";"0,715";3510807
"Casa Branca";"2010";"0,73";"388";"0,835";"0,64";"0,727";3510807
"Cássia dos Coqueiros";"1991";"0,487";"364";"0,77";"0,249";"0,602";3510906
"Cássia dos Coqueiros";"2000";"0,643";"328";"0,828";"0,493";"0,652";3510906
"Cássia dos Coqueiros";"2010";"0,734";"356";"0,864";"0,673";"0,68";3510906
"Castilho";"1991";"0,502";"298";"0,711";"0,288";"0,619";3511003
"Castilho";"2000";"0,634";"377";"0,761";"0,541";"0,618";3511003
"Castilho";"2010";"0,731";"381";"0,827";"0,686";"0,688";3511003
"Catanduva";"1991";"0,582";"36";"0,769";"0,364";"0,706";3511102
"Catanduva";"2000";"0,705";"57";"0,799";"0,601";"0,731";3511102
"Catanduva";"2010";"0,785";"50";"0,853";"0,74";"0,767";3511102
"Catiguá";"1991";"0,472";"437";"0,725";"0,233";"0,621";3511201
"Catiguá";"2000";"0,632";"392";"0,795";"0,482";"0,659";3511201
"Catiguá";"2010";"0,751";"219";"0,852";"0,676";"0,734";3511201
"Caçapava";"1991";"0,542";"136";"0,727";"0,319";"0,685";3508504
"Caçapava";"2000";"0,694";"96";"0,817";"0,565";"0,724";3508504
"Caçapava";"2010";"0,788";"40";"0,858";"0,755";"0,754";3508504
"Cedral";"1991";"0,528";"182";"0,766";"0,303";"0,634";3511300
"Cedral";"2000";"0,657";"258";"0,857";"0,484";"0,685";3511300
"Cedral";"2010";"0,766";"131";"0,872";"0,689";"0,749";3511300
"Cerqueira César";"1991";"0,494";"327";"0,675";"0,27";"0,662";3511409
"Cerqueira César";"2000";"0,631";"398";"0,742";"0,505";"0,672";3511409
"Cerqueira César";"2010";"0,729";"400";"0,821";"0,666";"0,71";3511409
"Cerquilho";"1991";"0,559";"88";"0,751";"0,321";"0,726";3511508
"Cerquilho";"2000";"0,713";"45";"0,813";"0,599";"0,745";3511508
"Cerquilho";"2010";"0,782";"61";"0,854";"0,739";"0,758";3511508
"Cesário Lange";"1991";"0,485";"370";"0,718";"0,255";"0,624";3511607
"Cesário Lange";"2000";"0,622";"446";"0,781";"0,474";"0,651";3511607
"Cesário Lange";"2010";"0,706";"550";"0,804";"0,611";"0,715";3511607
"Charqueada";"1991";"0,515";"240";"0,719";"0,29";"0,655";3511706
"Charqueada";"2000";"0,636";"366";"0,787";"0,481";"0,68";3511706
"Charqueada";"2010";"0,736";"339";"0,82";"0,675";"0,72";3511706
"Chavantes";"1991";"0,47";"442";"0,732";"0,235";"0,604";3557204
"Chavantes";"2000";"0,642";"336";"0,778";"0,505";"0,672";3557204
"Chavantes";"2010";"0,729";"400";"0,828";"0,655";"0,713";3557204
"Clementina";"1991";"0,526";"188";"0,743";"0,319";"0,614";3511904
"Clementina";"2000";"0,636";"366";"0,786";"0,526";"0,623";3511904
"Clementina";"2010";"0,725";"430";"0,821";"0,66";"0,704";3511904
"Colina";"1991";"0,522";"206";"0,751";"0,294";"0,646";3512001
"Colina";"2000";"0,663";"224";"0,802";"0,539";"0,674";3512001
"Colina";"2010";"0,757";"182";"0,845";"0,712";"0,72";3512001
"Colômbia";"1991";"0,466";"457";"0,7";"0,243";"0,595";3512100
"Colômbia";"2000";"0,607";"510";"0,78";"0,423";"0,678";3512100
"Colômbia";"2010";"0,71";"534";"0,802";"0,647";"0,689";3512100
"Conchal";"1991";"0,468";"449";"0,712";"0,224";"0,643";3512209
"Conchal";"2000";"0,602";"533";"0,794";"0,415";"0,663";3512209
"Conchal";"2010";"0,708";"546";"0,827";"0,614";"0,699";3512209
"Conchas";"1991";"0,538";"152";"0,733";"0,315";"0,676";3512308
"Conchas";"2000";"0,658";"246";"0,775";"0,506";"0,726";3512308
"Conchas";"2010";"0,736";"339";"0,837";"0,658";"0,725";3512308
"Cordeirópolis";"1991";"0,578";"44";"0,76";"0,375";"0,677";3512407
"Cordeirópolis";"2000";"0,706";"53";"0,849";"0,571";"0,725";3512407
"Cordeirópolis";"2010";"0,758";"177";"0,858";"0,674";"0,754";3512407
"Coroados";"1991";"0,479";"414";"0,711";"0,241";"0,64";3512506
"Coroados";"2000";"0,63";"404";"0,792";"0,479";"0,659";3512506
"Coroados";"2010";"0,719";"476";"0,816";"0,648";"0,704";3512506
"Coronel Macedo";"1991";"0,401";"610";"0,668";"0,171";"0,566";3512605
"Coronel Macedo";"2000";"0,561";"621";"0,708";"0,41";"0,608";3512605
"Coronel Macedo";"2010";"0,69";"608";"0,811";"0,619";"0,653";3512605
"Corumbataí";"1991";"0,48";"406";"0,75";"0,228";"0,645";3512704
"Corumbataí";"2000";"0,641";"346";"0,776";"0,496";"0,685";3512704
"Corumbataí";"2010";"0,754";"199";"0,841";"0,7";"0,728";3512704
"Cosmópolis";"1991";"0,529";"177";"0,742";"0,293";"0,679";3512803
"Cosmópolis";"2000";"0,665";"208";"0,807";"0,521";"0,699";3512803
"Cosmópolis";"2010";"0,769";"115";"0,876";"0,697";"0,746";3512803
"Cosmorama";"1991";"0,494";"327";"0,703";"0,291";"0,589";3512902
"Cosmorama";"2000";"0,627";"422";"0,801";"0,477";"0,646";3512902
"Cosmorama";"2010";"0,722";"452";"0,849";"0,63";"0,705";3512902
"Cotia";"1991";"0,557";"96";"0,754";"0,312";"0,735";3513009
"Cotia";"2000";"0,693";"99";"0,798";"0,554";"0,754";3513009
"Cotia";"2010";"0,78";"66";"0,851";"0,707";"0,789";3513009
"Cravinhos";"1991";"0,521";"212";"0,75";"0,271";"0,696";3513108
"Cravinhos";"2000";"0,668";"189";"0,803";"0,517";"0,717";3513108
"Cravinhos";"2010";"0,756";"188";"0,857";"0,683";"0,737";3513108
"Cristais Paulista";"1991";"0,441";"537";"0,713";"0,204";"0,589";3513207
"Cristais Paulista";"2000";"0,609";"504";"0,748";"0,456";"0,663";3513207
"Cristais Paulista";"2010";"0,734";"356";"0,802";"0,682";"0,723";3513207
"Cruzália";"1991";"0,518";"227";"0,742";"0,285";"0,658";3513306
"Cruzália";"2000";"0,69";"107";"0,776";"0,624";"0,677";3513306
"Cruzália";"2010";"0,774";"92";"0,853";"0,778";"0,698";3513306
"Cruzeiro";"1991";"0,556";"102";"0,703";"0,383";"0,64";3513405
"Cruzeiro";"2000";"0,704";"65";"0,808";"0,618";"0,699";3513405
"Cruzeiro";"2010";"0,788";"40";"0,871";"0,758";"0,742";3513405
"Cubatão";"1991";"0,517";"229";"0,667";"0,318";"0,651";3513504
"Cubatão";"2000";"0,634";"377";"0,756";"0,498";"0,677";3513504
"Cubatão";"2010";"0,737";"330";"0,821";"0,681";"0,716";3513504
"Cunha";"1991";"0,39";"619";"0,698";"0,153";"0,554";3513603
"Cunha";"2000";"0,543";"630";"0,798";"0,344";"0,582";3513603
"Cunha";"2010";"0,684";"617";"0,826";"0,576";"0,672";3513603
"Descalvado";"1991";"0,544";"132";"0,752";"0,307";"0,698";3513702
"Descalvado";"2000";"0,7";"78";"0,819";"0,58";"0,721";3513702
"Descalvado";"2010";"0,76";"164";"0,865";"0,687";"0,74";3513702
"Diadema";"1991";"0,528";"182";"0,719";"0,301";"0,682";3513801
"Diadema";"2000";"0,664";"216";"0,774";"0,547";"0,693";3513801
"Diadema";"2010";"0,757";"182";"0,844";"0,716";"0,717";3513801
"Dirce Reis";"1991";"0,468";"449";"0,688";"0,265";"0,562";3513850
"Dirce Reis";"2000";"0,644";"318";"0,771";"0,562";"0,616";3513850
"Dirce Reis";"2010";"0,741";"297";"0,842";"0,704";"0,686";3513850
"Divinolândia";"1991";"0,464";"464";"0,728";"0,217";"0,631";3513900
"Divinolândia";"2000";"0,63";"404";"0,802";"0,477";"0,655";3513900
"Divinolândia";"2010";"0,734";"356";"0,85";"0,645";"0,72";3513900
"Dobrada";"1991";"0,471";"441";"0,75";"0,217";"0,644";3514007
"Dobrada";"2000";"0,625";"433";"0,772";"0,492";"0,644";3514007
"Dobrada";"2010";"0,718";"489";"0,818";"0,655";"0,691";3514007
"Dois Córregos";"1991";"0,529";"177";"0,72";"0,302";"0,681";3514106
"Dois Córregos";"2000";"0,642";"336";"0,761";"0,489";"0,71";3514106
"Dois Córregos";"2010";"0,725";"430";"0,853";"0,616";"0,725";3514106
"Dolcinópolis";"1991";"0,504";"290";"0,705";"0,324";"0,559";3514205
"Dolcinópolis";"2000";"0,647";"296";"0,776";"0,555";"0,629";3514205
"Dolcinópolis";"2010";"0,742";"290";"0,825";"0,709";"0,699";3514205
"Dourado";"1991";"0,544";"132";"0,703";"0,338";"0,679";3514304
"Dourado";"2000";"0,658";"246";"0,769";"0,552";"0,67";3514304
"Dourado";"2010";"0,738";"321";"0,811";"0,689";"0,718";3514304
"Dracena";"1991";"0,574";"51";"0,695";"0,408";"0,668";3514403
"Dracena";"2000";"0,717";"40";"0,836";"0,609";"0,724";3514403
"Dracena";"2010";"0,776";"83";"0,842";"0,737";"0,752";3514403
"Duartina";"1991";"0,53";"175";"0,717";"0,322";"0,644";3514502
"Duartina";"2000";"0,638";"359";"0,783";"0,497";"0,666";3514502
"Duartina";"2010";"0,748";"248";"0,837";"0,698";"0,716";3514502
"Dumont";"1991";"0,558";"91";"0,749";"0,332";"0,697";3514601
"Dumont";"2000";"0,675";"162";"0,79";"0,543";"0,718";3514601
"Dumont";"2010";"0,744";"274";"0,849";"0,674";"0,72";3514601
"Echaporã";"1991";"0,504";"290";"0,744";"0,273";"0,63";3514700
"Echaporã";"2000";"0,634";"377";"0,794";"0,495";"0,649";3514700
"Echaporã";"2010";"0,745";"265";"0,834";"0,69";"0,719";3514700
"Eldorado";"1991";"0,45";"505";"0,695";"0,214";"0,614";3514809
"Eldorado";"2000";"0,588";"576";"0,79";"0,427";"0,603";3514809
"Eldorado";"2010";"0,691";"607";"0,847";"0,615";"0,633";3514809
"Elias Fausto";"1991";"0,443";"531";"0,71";"0,191";"0,642";3514908
"Elias Fausto";"2000";"0,589";"574";"0,766";"0,407";"0,655";3514908
"Elias Fausto";"2010";"0,695";"599";"0,822";"0,583";"0,701";3514908
"Elisiário";"1991";"0,473";"432";"0,705";"0,248";"0,607";3514924
"Elisiário";"2000";"0,615";"482";"0,774";"0,481";"0,626";3514924
"Elisiário";"2010";"0,747";"252";"0,825";"0,712";"0,711";3514924
"Embaúba";"1991";"0,455";"494";"0,721";"0,201";"0,65";3514957
"Embaúba";"2000";"0,655";"264";"0,807";"0,51";"0,684";3514957
"Embaúba";"2010";"0,73";"388";"0,84";"0,641";"0,723";3514957
"Embu das Artes";"1991";"0,487";"364";"0,718";"0,235";"0,683";3515004
"Embu das Artes";"2000";"0,63";"404";"0,77";"0,487";"0,666";3515004
"Embu das Artes";"2010";"0,735";"345";"0,839";"0,676";"0,7";3515004
"Embu-Guaçu";"1991";"0,483";"392";"0,696";"0,249";"0,652";3515103
"Embu-Guaçu";"2000";"0,65";"286";"0,78";"0,508";"0,693";3515103
"Embu-Guaçu";"2010";"0,749";"236";"0,834";"0,708";"0,713";3515103
"Emilianópolis";"1991";"0,449";"509";"0,693";"0,236";"0,553";3515129
"Emilianópolis";"2000";"0,635";"371";"0,767";"0,54";"0,618";3515129
"Emilianópolis";"2010";"0,727";"418";"0,805";"0,691";"0,69";3515129
"Engenheiro Coelho";"1991";"0,472";"437";"0,711";"0,225";"0,659";3515152
"Engenheiro Coelho";"2000";"0,646";"299";"0,791";"0,495";"0,689";3515152
"Engenheiro Coelho";"2010";"0,732";"370";"0,815";"0,668";"0,72";3515152
"Espírito Santo do Pinhal";"1991";"0,561";"83";"0,779";"0,334";"0,68";3515186
"Espírito Santo do Pinhal";"2000";"0,681";"143";"0,83";"0,531";"0,716";3515186
"Espírito Santo do Pinhal";"2010";"0,787";"46";"0,872";"0,712";"0,784";3515186
"Espírito Santo do Turvo";"1991";"0,359";"630";"0,688";"0,115";"0,587";3515194
"Espírito Santo do Turvo";"2000";"0,573";"607";"0,744";"0,396";"0,638";3515194
"Espírito Santo do Turvo";"2010";"0,696";"596";"0,819";"0,609";"0,675";3515194
"Estiva Gerbi";"1991";"0,485";"370";"0,711";"0,254";"0,632";3557303
"Estiva Gerbi";"2000";"0,638";"359";"0,786";"0,501";"0,659";3557303
"Estiva Gerbi";"2010";"0,74";"306";"0,815";"0,695";"0,716";3557303
"Estrela d'Oeste";"1991";"0,516";"234";"0,735";"0,308";"0,607";3515202
"Estrela d'Oeste";"2000";"0,677";"155";"0,807";"0,573";"0,67";3515202
"Estrela d'Oeste";"2010";"0,76";"164";"0,873";"0,705";"0,712";3515202
"Estrela do Norte";"1991";"0,458";"483";"0,719";"0,261";"0,512";3515301
"Estrela do Norte";"2000";"0,645";"310";"0,761";"0,574";"0,613";3515301
"Estrela do Norte";"2010";"0,74";"306";"0,818";"0,714";"0,693";3515301
"Euclides da Cunha Paulista";"1991";"0,41";"596";"0,684";"0,185";"0,544";3515350
"Euclides da Cunha Paulista";"2000";"0,599";"545";"0,752";"0,5";"0,572";3515350
"Euclides da Cunha Paulista";"2010";"0,704";"560";"0,802";"0,655";"0,663";3515350
"Fartura";"1991";"0,484";"380";"0,686";"0,278";"0,595";3515400
"Fartura";"2000";"0,633";"387";"0,789";"0,487";"0,66";3515400
"Fartura";"2010";"0,732";"370";"0,867";"0,648";"0,699";3515400
"Fernando Prestes";"1991";"0,502";"298";"0,744";"0,27";"0,631";3515608
"Fernando Prestes";"2000";"0,634";"377";"0,821";"0,468";"0,663";3515608
"Fernando Prestes";"2010";"0,758";"177";"0,859";"0,68";"0,746";3515608
"Fernandópolis";"1991";"0,594";"28";"0,785";"0,393";"0,68";3515509
"Fernandópolis";"2000";"0,728";"25";"0,838";"0,637";"0,724";3515509
"Fernandópolis";"2010";"0,797";"28";"0,872";"0,758";"0,767";3515509
"Fernão";"1991";"0,333";"637";"0,688";"0,111";"0,484";3515657
"Fernão";"2000";"0,642";"336";"0,776";"0,5";"0,682";3515657
"Fernão";"2010";"0,703";"565";"0,843";"0,617";"0,668";3515657
"Ferraz de Vasconcelos";"1991";"0,48";"406";"0,695";"0,252";"0,63";3515707
"Ferraz de Vasconcelos";"2000";"0,637";"363";"0,781";"0,511";"0,649";3515707
"Ferraz de Vasconcelos";"2010";"0,738";"321";"0,828";"0,703";"0,691";3515707
"Flora Rica";"1991";"0,501";"302";"0,68";"0,315";"0,588";3515806
"Flora Rica";"2000";"0,639";"354";"0,739";"0,574";"0,614";3515806
"Flora Rica";"2010";"0,727";"418";"0,796";"0,723";"0,668";3515806
"Floreal";"1991";"0,535";"159";"0,705";"0,349";"0,624";3515905
"Floreal";"2000";"0,664";"216";"0,791";"0,545";"0,68";3515905
"Floreal";"2010";"0,747";"252";"0,808";"0,726";"0,71";3515905
"Flórida Paulista";"1991";"0,493";"334";"0,695";"0,289";"0,595";3516002
"Flórida Paulista";"2000";"0,622";"446";"0,743";"0,506";"0,641";3516002
"Flórida Paulista";"2010";"0,715";"502";"0,807";"0,646";"0,702";3516002
"Florínia";"1991";"0,484";"380";"0,713";"0,272";"0,585";3516101
"Florínia";"2000";"0,642";"336";"0,786";"0,55";"0,613";3516101
"Florínia";"2010";"0,713";"515";"0,82";"0,652";"0,678";3516101
"Franca";"1991";"0,568";"65";"0,763";"0,34";"0,706";3516200
"Franca";"2000";"0,688";"114";"0,807";"0,56";"0,721";3516200
"Franca";"2010";"0,78";"66";"0,842";"0,753";"0,749";3516200
"Francisco Morato";"1991";"0,444";"530";"0,667";"0,204";"0,644";3516309
"Francisco Morato";"2000";"0,571";"612";"0,761";"0,397";"0,615";3516309
"Francisco Morato";"2010";"0,703";"565";"0,815";"0,647";"0,659";3516309
"Franco da Rocha";"1991";"0,494";"327";"0,717";"0,253";"0,663";3516408
"Franco da Rocha";"2000";"0,628";"418";"0,76";"0,489";"0,665";3516408
"Franco da Rocha";"2010";"0,731";"381";"0,852";"0,654";"0,702";3516408
"Gabriel Monteiro";"1991";"0,525";"193";"0,721";"0,313";"0,64";3516507
"Gabriel Monteiro";"2000";"0,631";"398";"0,751";"0,52";"0,643";3516507
"Gabriel Monteiro";"2010";"0,763";"145";"0,809";"0,762";"0,721";3516507
"Gália";"1991";"0,434";"556";"0,662";"0,212";"0,584";3516606
"Gália";"2000";"0,606";"517";"0,734";"0,462";"0,655";3516606
"Gália";"2010";"0,709";"542";"0,823";"0,634";"0,684";3516606
"Garça";"1991";"0,534";"162";"0,72";"0,332";"0,637";3516705
"Garça";"2000";"0,685";"132";"0,783";"0,59";"0,695";3516705
"Garça";"2010";"0,769";"115";"0,849";"0,728";"0,737";3516705
"Gastão Vidigal";"1991";"0,463";"466";"0,688";"0,242";"0,597";3516804
"Gastão Vidigal";"2000";"0,638";"359";"0,763";"0,506";"0,673";3516804
"Gastão Vidigal";"2010";"0,723";"446";"0,817";"0,635";"0,727";3516804
"Gavião Peixoto";"1991";"0,44";"539";"0,704";"0,185";"0,655";3516853
"Gavião Peixoto";"2000";"0,597";"549";"0,771";"0,438";"0,631";3516853
"Gavião Peixoto";"2010";"0,719";"476";"0,802";"0,676";"0,687";3516853
"General Salgado";"1991";"0,555";"104";"0,69";"0,378";"0,654";3516903
"General Salgado";"2000";"0,659";"242";"0,753";"0,562";"0,677";3516903
"General Salgado";"2010";"0,747";"252";"0,808";"0,702";"0,734";3516903
"Getulina";"1991";"0,484";"380";"0,69";"0,275";"0,599";3517000
"Getulina";"2000";"0,623";"439";"0,761";"0,477";"0,665";3517000
"Getulina";"2010";"0,717";"494";"0,813";"0,652";"0,696";3517000
"Glicério";"1991";"0,473";"432";"0,698";"0,262";"0,579";3517109
"Glicério";"2000";"0,629";"413";"0,804";"0,478";"0,647";3517109
"Glicério";"2010";"0,735";"345";"0,858";"0,63";"0,735";3517109
"Guaimbê";"1991";"0,512";"261";"0,714";"0,3";"0,626";3517307
"Guaimbê";"2000";"0,607";"510";"0,766";"0,465";"0,627";3517307
"Guaimbê";"2010";"0,728";"409";"0,83";"0,689";"0,675";3517307
"Guaíra";"1991";"0,506";"280";"0,721";"0,272";"0,659";3517406
"Guaíra";"2000";"0,675";"162";"0,8";"0,552";"0,696";3517406
"Guaíra";"2010";"0,753";"207";"0,824";"0,683";"0,759";3517406
"Guaiçara";"1991";"0,499";"311";"0,73";"0,293";"0,582";3517208
"Guaiçara";"2000";"0,615";"482";"0,76";"0,476";"0,642";3517208
"Guaiçara";"2010";"0,739";"314";"0,853";"0,679";"0,697";3517208
"Guapiara";"1991";"0,344";"635";"0,658";"0,114";"0,541";3517604
"Guapiara";"2000";"0,514";"639";"0,743";"0,303";"0,603";3517604
"Guapiara";"2010";"0,675";"631";"0,806";"0,602";"0,634";3517604
"Guapiaçu";"1991";"0,472";"437";"0,735";"0,227";"0,632";3517505
"Guapiaçu";"2000";"0,679";"146";"0,834";"0,529";"0,71";3517505
"Guapiaçu";"2010";"0,725";"430";"0,866";"0,605";"0,728";3517505
"Guará";"1991";"0,482";"396";"0,719";"0,25";"0,623";3517703
"Guará";"2000";"0,605";"522";"0,743";"0,451";"0,661";3517703
"Guará";"2010";"0,718";"489";"0,826";"0,63";"0,71";3517703
"Guaraci";"1991";"0,459";"480";"0,7";"0,227";"0,607";3517901
"Guaraci";"2000";"0,632";"392";"0,78";"0,494";"0,654";3517901
"Guaraci";"2010";"0,737";"330";"0,84";"0,682";"0,698";3517901
"Guarani d'Oeste";"1991";"0,474";"428";"0,713";"0,272";"0,549";3518008
"Guarani d'Oeste";"2000";"0,62";"456";"0,768";"0,494";"0,627";3518008
"Guarani d'Oeste";"2010";"0,732";"370";"0,806";"0,714";"0,682";3518008
"Guarantã";"1991";"0,429";"567";"0,667";"0,202";"0,584";3518107
"Guarantã";"2000";"0,582";"588";"0,746";"0,41";"0,643";3518107
"Guarantã";"2010";"0,713";"515";"0,832";"0,623";"0,698";3518107
"Guararapes";"1991";"0,564";"74";"0,75";"0,363";"0,659";3518206
"Guararapes";"2000";"0,687";"121";"0,774";"0,617";"0,68";3518206
"Guararapes";"2010";"0,763";"145";"0,84";"0,726";"0,727";3518206
"Guararema";"1991";"0,501";"302";"0,687";"0,284";"0,645";3518305
"Guararema";"2000";"0,658";"246";"0,791";"0,5";"0,719";3518305
"Guararema";"2010";"0,731";"381";"0,817";"0,656";"0,729";3518305
"Guaratinguetá";"1991";"0,598";"23";"0,734";"0,398";"0,731";3518404
"Guaratinguetá";"2000";"0,718";"36";"0,796";"0,628";"0,739";3518404
"Guaratinguetá";"2010";"0,798";"25";"0,886";"0,751";"0,764";3518404
"Guaraçaí";"1991";"0,521";"212";"0,721";"0,301";"0,653";3517802
"Guaraçaí";"2000";"0,663";"224";"0,743";"0,592";"0,663";3517802
"Guaraçaí";"2010";"0,719";"476";"0,803";"0,663";"0,699";3517802
"Guareí";"1991";"0,404";"607";"0,689";"0,151";"0,634";3518503
"Guareí";"2000";"0,579";"592";"0,786";"0,388";"0,638";3518503
"Guareí";"2010";"0,687";"612";"0,805";"0,583";"0,692";3518503
"Guariba";"1991";"0,485";"370";"0,717";"0,249";"0,638";3518602
"Guariba";"2000";"0,603";"528";"0,75";"0,441";"0,662";3518602
"Guariba";"2010";"0,719";"476";"0,811";"0,645";"0,712";3518602
"Guarujá";"1991";"0,497";"319";"0,689";"0,272";"0,654";3518701
"Guarujá";"2000";"0,636";"366";"0,768";"0,481";"0,698";3518701
"Guarujá";"2010";"0,751";"219";"0,854";"0,679";"0,729";3518701
"Guarulhos";"1991";"0,544";"132";"0,717";"0,32";"0,703";3518800
"Guarulhos";"2000";"0,678";"150";"0,787";"0,553";"0,717";3518800
"Guarulhos";"2010";"0,763";"145";"0,831";"0,717";"0,746";3518800
"Guatapará";"1991";"0,519";"218";"0,708";"0,276";"0,714";3518859
"Guatapará";"2000";"0,652";"280";"0,796";"0,484";"0,719";3518859
"Guatapará";"2010";"0,743";"283";"0,822";"0,688";"0,724";3518859
"Guzolândia";"1991";"0,398";"613";"0,688";"0,169";"0,542";3518909
"Guzolândia";"2000";"0,613";"488";"0,782";"0,513";"0,575";3518909
"Guzolândia";"2010";"0,697";"590";"0,808";"0,621";"0,676";3518909
"Herculândia";"1991";"0,462";"471";"0,695";"0,221";"0,643";3519006
"Herculândia";"2000";"0,612";"494";"0,789";"0,465";"0,626";3519006
"Herculândia";"2010";"0,727";"418";"0,809";"0,698";"0,68";3519006
"Holambra";"1991";"0,532";"168";"0,742";"0,293";"0,694";3519055
"Holambra";"2000";"0,688";"114";"0,831";"0,512";"0,764";3519055
"Holambra";"2010";"0,793";"32";"0,878";"0,698";"0,815";3519055
"Hortolândia";"1991";"0,493";"334";"0,743";"0,25";"0,645";3519071
"Hortolândia";"2000";"0,636";"366";"0,788";"0,484";"0,673";3519071
"Hortolândia";"2010";"0,756";"188";"0,859";"0,703";"0,716";3519071
"Iacanga";"1991";"0,534";"162";"0,749";"0,302";"0,675";3519105
"Iacanga";"2000";"0,672";"171";"0,826";"0,544";"0,674";3519105
"Iacanga";"2010";"0,745";"265";"0,851";"0,675";"0,721";3519105
"Iacri";"1991";"0,499";"311";"0,735";"0,282";"0,599";3519204
"Iacri";"2000";"0,629";"413";"0,801";"0,49";"0,635";3519204
"Iacri";"2010";"0,733";"362";"0,857";"0,655";"0,701";3519204
"Iaras";"1991";"0,404";"607";"0,672";"0,168";"0,582";3519253
"Iaras";"2000";"0,568";"617";"0,747";"0,393";"0,624";3519253
"Iaras";"2010";"0,674";"632";"0,848";"0,543";"0,664";3519253
"Ibaté";"1991";"0,442";"533";"0,719";"0,193";"0,622";3519303
"Ibaté";"2000";"0,616";"476";"0,773";"0,46";"0,658";3519303
"Ibaté";"2010";"0,703";"565";"0,814";"0,627";"0,681";3519303
"Ibirá";"1991";"0,504";"290";"0,764";"0,268";"0,625";3519402
"Ibirá";"2000";"0,65";"286";"0,802";"0,503";"0,681";3519402
"Ibirá";"2010";"0,74";"306";"0,841";"0,65";"0,741";3519402
"Ibirarema";"1991";"0,484";"380";"0,712";"0,27";"0,591";3519501
"Ibirarema";"2000";"0,662";"230";"0,774";"0,543";"0,69";3519501
"Ibirarema";"2010";"0,708";"546";"0,817";"0,628";"0,692";3519501
"Ibitinga";"1991";"0,521";"212";"0,75";"0,28";"0,672";3519600
"Ibitinga";"2000";"0,666";"202";"0,795";"0,527";"0,706";3519600
