"Localidades";"Períodos";"Índice de Desenvolvimento Humano Municipal - IDHM ";"Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ";"Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ";"Índice de Desenvolvimento Humano Municipal - IDHM Educação ";"Índice de Desenvolvimento Humano Municipal - IDHM Renda ";"Cód. IBGE"
"Analândia";"1991";"0,493";"334";"0,749";"0,25";"0,641";3502002
"Analândia";"2000";"0,685";"132";"0,808";"0,568";"0,7";3502002
"Analândia";"2010";"0,754";"199";"0,861";"0,668";"0,745";3502002
"Andradina";"1991";"0,56";"86";"0,735";"0,365";"0,653";3502101
"Andradina";"2000";"0,717";"40";"0,805";"0,635";"0,72";3502101
"Andradina";"2010";"0,779";"73";"0,885";"0,702";"0,762";3502101
"Angatuba";"1991";"0,435";"552";"0,691";"0,19";"0,627";3502200
"Angatuba";"2000";"0,612";"494";"0,771";"0,448";"0,664";3502200
"Angatuba";"2010";"0,719";"476";"0,827";"0,648";"0,693";3502200
"Anhembi";"1991";"0,477";"421";"0,733";"0,247";"0,6";3502309
"Anhembi";"2000";"0,626";"427";"0,792";"0,468";"0,662";3502309
"Anhembi";"2010";"0,721";"460";"0,863";"0,637";"0,681";3502309
"Anhumas";"1991";"0,513";"253";"0,74";"0,329";"0,556";3502408
"Anhumas";"2000";"0,585";"583";"0,762";"0,44";"0,596";3502408
"Anhumas";"2010";"0,741";"297";"0,845";"0,706";"0,683";3502408
"Aparecida";"1991";"0,569";"62";"0,72";"0,372";"0,688";3502507
"Aparecida";"2000";"0,689";"110";"0,797";"0,583";"0,703";3502507
"Aparecida";"2010";"0,755";"195";"0,828";"0,706";"0,735";3502507
"Aparecida d'Oeste";"1991";"0,468";"449";"0,725";"0,242";"0,583";3502606
"Aparecida d'Oeste";"2000";"0,626";"427";"0,765";"0,484";"0,661";3502606
"Aparecida d'Oeste";"2010";"0,721";"460";"0,804";"0,67";"0,697";3502606
"Apiaí";"1991";"0,442";"533";"0,677";"0,222";"0,576";3502705
"Apiaí";"2000";"0,605";"522";"0,769";"0,473";"0,608";3502705
"Apiaí";"2010";"0,71";"534";"0,835";"0,647";"0,662";3502705
"Aramina";"1991";"0,515";"240";"0,76";"0,277";"0,647";3503000
"Aramina";"2000";"0,628";"418";"0,781";"0,478";"0,663";3503000
"Aramina";"2010";"0,74";"306";"0,856";"0,656";"0,723";3503000
"Arandu";"1991";"0,397";"614";"0,658";"0,174";"0,547";3503109
"Arandu";"2000";"0,584";"584";"0,748";"0,431";"0,619";3503109
"Arandu";"2010";"0,685";"616";"0,806";"0,592";"0,675";3503109
"Arapeí";"1991";"0,373";"623";"0,669";"0,158";"0,49";3503158
"Arapeí";"2000";"0,594";"560";"0,767";"0,471";"0,581";3503158
"Arapeí";"2010";"0,68";"621";"0,812";"0,612";"0,634";3503158
"Araraquara";"1991";"0,607";"15";"0,752";"0,411";"0,722";3503208
"Araraquara";"2000";"0,742";"11";"0,81";"0,67";"0,754";3503208
"Araraquara";"2010";"0,815";"7";"0,877";"0,782";"0,788";3503208
"Araras";"1991";"0,573";"55";"0,751";"0,358";"0,701";3503307
"Araras";"2000";"0,71";"48";"0,832";"0,591";"0,728";3503307
"Araras";"2010";"0,781";"62";"0,859";"0,728";"0,763";3503307
"Araçariguama";"1991";"0,426";"576";"0,674";"0,188";"0,612";3502754
"Araçariguama";"2000";"0,602";"533";"0,755";"0,429";"0,674";3502754
"Araçariguama";"2010";"0,704";"560";"0,814";"0,597";"0,717";3502754
"Araçatuba";"1991";"0,59";"32";"0,717";"0,401";"0,715";3502804
"Araçatuba";"2000";"0,744";"9";"0,796";"0,668";"0,775";3502804
"Araçatuba";"2010";"0,788";"40";"0,841";"0,744";"0,782";3502804
"Araçoiaba da Serra";"1991";"0,494";"327";"0,722";"0,259";"0,644";3502903
"Araçoiaba da Serra";"2000";"0,658";"246";"0,803";"0,51";"0,697";3502903
